ItemID,Bar,License,Item,Price,State
1858,"PINEY BRANCH PUB",574707-0877,"Corpse Reviver 212",704.54,Minnesota
1859,"PINEY BRANCH PUB",574707-0877,Guinness,394.54,Minnesota
1860,"PINEY BRANCH PUB",574707-0877,"Mozzarella sticks",54.54,Minnesota
1861,"PINEY BRANCH PUB",574707-0877,Busch,174.54,Minnesota
1862,"PINEY BRANCH PUB",574707-0877,"Natural Ice",104.54,Minnesota
1863,"PINEY BRANCH PUB",574707-0877,Pepsi-Cola,564.54,Minnesota
1864,"PINEY BRANCH PUB",574707-0877,Jameson,714.54,Minnesota
1865,"PINEY BRANCH PUB",574707-0877,"Chicken Buger",444.54,Minnesota
1354,"Le Syndicat",555889-1650,"Stella Artois",134.81,Idaho
1355,"Le Syndicat",555889-1650,"Chicken Buger",444.81,Idaho
1356,"Le Syndicat",555889-1650,Fanta,614.81,Idaho
1357,"Le Syndicat",555889-1650,"Fish & Chip",424.81,Idaho
1358,"Le Syndicat",555889-1650,"Natural Light",194.81,Idaho
1359,"Le Syndicat",555889-1650,"Mozzarella sticks",54.81,Idaho
1360,"Le Syndicat",555889-1650,"Bud Ice",124.81,Idaho
1361,"Le Syndicat",555889-1650,"Corona Extra",224.81,Idaho
1362,"Le Syndicat",555889-1650,"Tater Tots",404.81,Idaho
1363,"Le Syndicat",555889-1650,Icehouse,364.81,Idaho
1364,"Le Syndicat",555889-1650,"Coca Cola",554.81,Idaho
395,"Blue Tattoo",768883-3750,Jameson,716.29,"New York"
396,"Blue Tattoo",768883-3750,"Coors Banquet",346.29,"New York"
397,"Blue Tattoo",768883-3750,Wings,46.29,"New York"
398,"Blue Tattoo",768883-3750,"Diet Pepsi",596.29,"New York"
399,"Blue Tattoo",768883-3750,Pancakes,496.29,"New York"
400,"Blue Tattoo",768883-3750,Fanta,616.29,"New York"
401,"Blue Tattoo",768883-3750,"Keystone Light",156.29,"New York"
402,"Blue Tattoo",768883-3750,"French fries",16.29,"New York"
403,"Blue Tattoo",768883-3750,"Corpse Reviver 212",706.29,"New York"
404,"Blue Tattoo",768883-3750,Tsingtao,296.29,"New York"
405,"Blue Tattoo",768883-3750,"Bud Ice",126.29,"New York"
406,"Blue Tattoo",768883-3750,"Cheesecake eggrolls",456.29,"New York"
2416,"The B-Hive",159927-7181,Guinness,459.61,Nebraska
2417,"The B-Hive",159927-7181,"Strawberry Cheesecake",529.61,Nebraska
2418,"The B-Hive",159927-7181,"Fish & Chip",489.61,Nebraska
2419,"The B-Hive",159927-7181,"Yuengling Lager",379.61,Nebraska
2420,"The B-Hive",159927-7181,"Natural Light",259.61,Nebraska
2421,"The B-Hive",159927-7181,Quesadillas,129.61,Nebraska
2422,"The B-Hive",159927-7181,"Bud Light",329.61,Nebraska
2423,"The B-Hive",159927-7181,Heineken,229.61,Nebraska
2424,"The B-Hive",159927-7181,"French fries",79.61,Nebraska
2425,"The B-Hive",159927-7181,Pepsi-Cola,629.61,Nebraska
2426,"The B-Hive",159927-7181,PEARLRIVER,369.61,Nebraska
2427,"The B-Hive",159927-7181,"Keystone Light",219.61,Nebraska
1510,"MAMMA LUCIA",825954-1152,Milestones,693.26,Maryland
1511,"MAMMA LUCIA",825954-1152,"Yuengling Lager",313.26,Maryland
1512,"MAMMA LUCIA",825954-1152,PEARLRIVER,303.26,Maryland
1513,"MAMMA LUCIA",825954-1152,"Bud Ice",123.26,Maryland
1514,"MAMMA LUCIA",825954-1152,"Steel Reserve",353.26,Maryland
1515,"MAMMA LUCIA",825954-1152,"Natural Ice",103.26,Maryland
1516,"MAMMA LUCIA",825954-1152,"Iresh Breakfast",513.26,Maryland
1517,"MAMMA LUCIA",825954-1152,Guinness,393.26,Maryland
1518,"MAMMA LUCIA",825954-1152,"Coca Cola",553.26,Maryland
1519,"MAMMA LUCIA",825954-1152,Budweiser,243.26,Maryland
1520,"MAMMA LUCIA",825954-1152,"Diet Pepsi",593.26,Maryland
444,"BROOKVILLE EATERY",405616-0742,"Fish & Chip",420.49,Georgia
445,"BROOKVILLE EATERY",405616-0742,"Artichoke dip",70.49,Georgia
446,"BROOKVILLE EATERY",405616-0742,"Miller High Life",140.49,Georgia
447,"BROOKVILLE EATERY",405616-0742,"Michelob Ultra",210.49,Georgia
448,"BROOKVILLE EATERY",405616-0742,"7 Up",630.49,Georgia
449,"BROOKVILLE EATERY",405616-0742,Milestones,690.49,Georgia
450,"BROOKVILLE EATERY",405616-0742,"Miller Lite",230.49,Georgia
451,"BROOKVILLE EATERY",405616-0742,Wings,40.49,Georgia
452,"BROOKVILLE EATERY",405616-0742,Fanta,610.49,Georgia
453,"BROOKVILLE EATERY",405616-0742,"Chicken Buger",440.49,Georgia
454,"BROOKVILLE EATERY",405616-0742,"Pastrami Hash",530.49,Georgia
455,"BROOKVILLE EATERY",405616-0742,"Mello Yello",620.49,Georgia
1332,"Le Mary Céleste",498082-1021,Sprite,584.81,Alabama
1333,"Le Mary Céleste",498082-1021,"Miller Lite",234.81,Alabama
1334,"Le Mary Céleste",498082-1021,"Pastrami Hash",534.81,Alabama
1335,"Le Mary Céleste",498082-1021,"Mountain Dew",574.81,Alabama
1336,"Le Mary Céleste",498082-1021,"Yuengling Lager",314.81,Alabama
1337,"Le Mary Céleste",498082-1021,Budweiser,244.81,Alabama
1338,"Le Mary Céleste",498082-1021,"Cheese Buger",434.81,Alabama
1339,"Le Mary Céleste",498082-1021,Tsingtao,294.81,Alabama
1340,"Le Mary Céleste",498082-1021,"Pabst Blue Ribbon",114.81,Alabama
1341,"Le Mary Céleste",498082-1021,Busch,174.81,Alabama
1342,"Le Mary Céleste",498082-1021,"Busch Light",184.81,Alabama
2404,"THE BARKING DOG",953633-2746,Snow,339.61,"South Carolina"
2405,"THE BARKING DOG",953633-2746,Omelet,589.61,"South Carolina"
2406,"THE BARKING DOG",953633-2746,"Mozzarella sticks",119.61,"South Carolina"
2407,"THE BARKING DOG",953633-2746,"Tater Tots",469.61,"South Carolina"
2408,"THE BARKING DOG",953633-2746,"Pastrami Hash",599.61,"South Carolina"
2409,"THE BARKING DOG",953633-2746,"Miller High Life",209.61,"South Carolina"
2410,"THE BARKING DOG",953633-2746,"Fried Pickles",479.61,"South Carolina"
2411,"THE BARKING DOG",953633-2746,Steak,569.61,"South Carolina"
2412,"THE BARKING DOG",953633-2746,"Purple Rain",809.61,"South Carolina"
2413,"THE BARKING DOG",953633-2746,"Dos Equis",399.61,"South Carolina"
2414,"THE BARKING DOG",953633-2746,Fanta,679.61,"South Carolina"
2415,"THE BARKING DOG",953633-2746,"Extra Yanjing",349.61,"South Carolina"
2072,"SENOR TEQUILA'S",744864-1998,"Michelob Ultra",245.7,Delaware
2073,"SENOR TEQUILA'S",744864-1998,"Corpse Reviver 212",735.7,Delaware
2074,"SENOR TEQUILA'S",744864-1998,"Modelo Especial",235.7,Delaware
2075,"SENOR TEQUILA'S",744864-1998,Tsingtao,325.7,Delaware
2076,"SENOR TEQUILA'S",744864-1998,"Natural Light",225.7,Delaware
2077,"SENOR TEQUILA'S",744864-1998,"Steel Reserve",385.7,Delaware
2078,"SENOR TEQUILA'S",744864-1998,"Bud Ice",155.7,Delaware
2079,"SENOR TEQUILA'S",744864-1998,Busch,205.7,Delaware
2080,"SENOR TEQUILA'S",744864-1998,Wings,75.7,Delaware
2081,"SENOR TEQUILA'S",744864-1998,"French Toast",515.7,Delaware
2082,"SENOR TEQUILA'S",744864-1998,Steak,535.7,Delaware
962,"GOLF ULTRA LOUNGE",008054-3713,Prosscco,687.13,Colorado
963,"GOLF ULTRA LOUNGE",008054-3713,"Yuengling Lager",317.13,Colorado
964,"GOLF ULTRA LOUNGE",008054-3713,"Modelo Especial",207.13,Colorado
965,"GOLF ULTRA LOUNGE",008054-3713,"Coca Cola",557.13,Colorado
966,"GOLF ULTRA LOUNGE",008054-3713,"Purple Rain",747.13,Colorado
967,"GOLF ULTRA LOUNGE",008054-3713,"Coors Banquet",347.13,Colorado
968,"GOLF ULTRA LOUNGE",008054-3713,"Bud Ice",127.13,Colorado
969,"GOLF ULTRA LOUNGE",008054-3713,Tsingtao,297.13,Colorado
970,"GOLF ULTRA LOUNGE",008054-3713,"Tater Tots",407.13,Colorado
971,"GOLF ULTRA LOUNGE",008054-3713,Steak,507.13,Colorado
972,"GOLF ULTRA LOUNGE",008054-3713,"Bulleit 10YR",737.13,Colorado
907,"FOREST GLEN PUB",724454-6920,"Corpse Reviver 212",703.91,Oregon
908,"FOREST GLEN PUB",724454-6920,"French Toast",483.91,Oregon
909,"FOREST GLEN PUB",724454-6920,"Steel Reserve",353.91,Oregon
910,"FOREST GLEN PUB",724454-6920,Steak,503.91,Oregon
911,"FOREST GLEN PUB",724454-6920,"Chicken Buger",443.91,Oregon
912,"FOREST GLEN PUB",724454-6920,Tsingtao,293.91,Oregon
913,"FOREST GLEN PUB",724454-6920,Snow,273.91,Oregon
914,"FOREST GLEN PUB",724454-6920,"Coors Banquet",343.91,Oregon
915,"FOREST GLEN PUB",724454-6920,Pancakes,493.91,Oregon
916,"FOREST GLEN PUB",724454-6920,"Diet Pepsi",593.91,Oregon
917,"FOREST GLEN PUB",724454-6920,Guinness,393.91,Oregon
2380,"The Backbeat",845635-3971,"Yuengling Lager",380.03,Pennsylvania
2381,"The Backbeat",845635-3971,Monster,710.03,Pennsylvania
2382,"The Backbeat",845635-3971,Bakers,790.03,Pennsylvania
2383,"The Backbeat",845635-3971,Rose,730.03,Pennsylvania
2384,"The Backbeat",845635-3971,PEARLRIVER,370.03,Pennsylvania
2385,"The Backbeat",845635-3971,"Diet Pepsi",660.03,Pennsylvania
2386,"The Backbeat",845635-3971,"Corpse Reviver 212",770.03,Pennsylvania
2387,"The Backbeat",845635-3971,"Michelob Ultra",280.03,Pennsylvania
2388,"The Backbeat",845635-3971,"Artichoke dip",140.03,Pennsylvania
2389,"The Backbeat",845635-3971,"Modelo Especial",270.03,Pennsylvania
2390,"The Backbeat",845635-3971,"Mil’s Best Ice",450.03,Pennsylvania
2391,"The Backbeat",845635-3971,"Pastrami Hash",600.03,Pennsylvania
276,BECLAWS,269500-5799,Monster,640.7,Minnesota
277,BECLAWS,269500-5799,"Artichoke dip",70.7,Minnesota
278,BECLAWS,269500-5799,Pepsi-Cola,560.7,Minnesota
279,BECLAWS,269500-5799,Jameson,710.7,Minnesota
280,BECLAWS,269500-5799,"Coors Banquet",340.7,Minnesota
281,BECLAWS,269500-5799,White,670.7,Minnesota
282,BECLAWS,269500-5799,"Keystone Light",150.7,Minnesota
283,BECLAWS,269500-5799,"Michelob Ultra",210.7,Minnesota
284,BECLAWS,269500-5799,"Pabst Blue Ribbon",110.7,Minnesota
285,BECLAWS,269500-5799,"Diet Dr Pepper",600.7,Minnesota
286,BECLAWS,269500-5799,"Lamb Chops",540.7,Minnesota
287,BECLAWS,269500-5799,"Busch Light",180.7,Minnesota
2428,"The Blank Club",307264-2642,"Onion rings",89.61,"North Carolina"
2429,"The Blank Club",307264-2642,"Steel Reserve",419.61,"North Carolina"
2430,"The Blank Club",307264-2642,Wings,109.61,"North Carolina"
2431,"The Blank Club",307264-2642,"Bulleit 10YR",799.61,"North Carolina"
2432,"The Blank Club",307264-2642,"Corona Extra",289.61,"North Carolina"
2433,"The Blank Club",307264-2642,"Cheesecake eggrolls",519.61,"North Carolina"
2434,"The Blank Club",307264-2642,"Diet Dr Pepper",669.61,"North Carolina"
2435,"The Blank Club",307264-2642,"Bud Ice",189.61,"North Carolina"
2436,"The Blank Club",307264-2642,Icehouse,429.61,"North Carolina"
2437,"The Blank Club",307264-2642,"Lamb Chops",609.61,"North Carolina"
2438,"The Blank Club",307264-2642,"Modelo Especial",269.61,"North Carolina"
2439,"The Blank Club",307264-2642,"Farro Salad",149.61,"North Carolina"
983,"GRAPE AND GRAIN BOUTIQUE",557483-4338,"Tater Tots",406.05,Massachusetts
984,"GRAPE AND GRAIN BOUTIQUE",557483-4338,Guinness,396.05,Massachusetts
985,"GRAPE AND GRAIN BOUTIQUE",557483-4338,"Fried Pickles",416.05,Massachusetts
986,"GRAPE AND GRAIN BOUTIQUE",557483-4338,Bakers,726.05,Massachusetts
987,"GRAPE AND GRAIN BOUTIQUE",557483-4338,"Blue Moon",326.05,Massachusetts
988,"GRAPE AND GRAIN BOUTIQUE",557483-4338,"Miller High Life",146.05,Massachusetts
989,"GRAPE AND GRAIN BOUTIQUE",557483-4338,"Coors Light",256.05,Massachusetts
990,"GRAPE AND GRAIN BOUTIQUE",557483-4338,Pepsi-Cola,566.05,Massachusetts
991,"GRAPE AND GRAIN BOUTIQUE",557483-4338,"Busch Light",186.05,Massachusetts
992,"GRAPE AND GRAIN BOUTIQUE",557483-4338,"Cheese Buger",436.05,Massachusetts
2583,"The Shark and Rose",385233-3057,"Lamb Chops",610.29,Maryland
2584,"The Shark and Rose",385233-3057,"Yuengling Lager",380.29,Maryland
2585,"The Shark and Rose",385233-3057,"Miller High Life",210.29,Maryland
2586,"The Shark and Rose",385233-3057,Milestones,760.29,Maryland
2587,"The Shark and Rose",385233-3057,Tsingtao,360.29,Maryland
2588,"The Shark and Rose",385233-3057,"Purple Rain",810.29,Maryland
2589,"The Shark and Rose",385233-3057,Pepsi-Cola,630.29,Maryland
2590,"The Shark and Rose",385233-3057,"Pastrami Hash",600.29,Maryland
2591,"The Shark and Rose",385233-3057,"Mil’s Best Ice",450.29,Maryland
2592,"The Shark and Rose",385233-3057,PEARLRIVER,370.29,Maryland
2593,"The Shark and Rose",385233-3057,"Artichoke dip",140.29,Maryland
1106,"J N K BEER & WINE",368909-3791,Monster,643.81,"North Carolina"
1107,"J N K BEER & WINE",368909-3791,Milestones,693.81,"North Carolina"
1108,"J N K BEER & WINE",368909-3791,Prosscco,683.81,"North Carolina"
1109,"J N K BEER & WINE",368909-3791,"Natural Ice",103.81,"North Carolina"
1110,"J N K BEER & WINE",368909-3791,"Mountain Dew",573.81,"North Carolina"
1111,"J N K BEER & WINE",368909-3791,Omelet,523.81,"North Carolina"
1112,"J N K BEER & WINE",368909-3791,Budweiser,243.81,"North Carolina"
1113,"J N K BEER & WINE",368909-3791,"Modelo Especial",203.81,"North Carolina"
1114,"J N K BEER & WINE",368909-3791,Rose,663.81,"North Carolina"
1115,"J N K BEER & WINE",368909-3791,"Mello Yello",623.81,"North Carolina"
1116,"J N K BEER & WINE",368909-3791,Pepsi-Cola,563.81,"North Carolina"
1117,"J N K BEER & WINE",368909-3791,"Corona Extra",223.81,"North Carolina"
1210,"KWIK BAR & GRILL",343655-3428,"Mozzarella sticks",59.18,Wisconsin
1211,"KWIK BAR & GRILL",343655-3428,"Corona Light",379.18,Wisconsin
1212,"KWIK BAR & GRILL",343655-3428,"Chicken Pot Pie",479.18,Wisconsin
1213,"KWIK BAR & GRILL",343655-3428,"Bud Ice",129.18,Wisconsin
1214,"KWIK BAR & GRILL",343655-3428,"Fish & Chip",429.18,Wisconsin
1215,"KWIK BAR & GRILL",343655-3428,Quesadillas,69.18,Wisconsin
1216,"KWIK BAR & GRILL",343655-3428,Snow,279.18,Wisconsin
1217,"KWIK BAR & GRILL",343655-3428,"Miller High Life",149.18,Wisconsin
1218,"KWIK BAR & GRILL",343655-3428,Monster,649.18,Wisconsin
1219,"KWIK BAR & GRILL",343655-3428,"Stella Artois",139.18,Wisconsin
1220,"KWIK BAR & GRILL",343655-3428,Pancakes,499.18,Wisconsin
1221,"KWIK BAR & GRILL",343655-3428,"Natural Ice",109.18,Wisconsin
1878,"PIZZERIA DAMARCO",443927-4046,"Mello Yello",621.17,Washington
1879,"PIZZERIA DAMARCO",443927-4046,Bakers,721.17,Washington
1880,"PIZZERIA DAMARCO",443927-4046,"Pabst Blue Ribbon",111.17,Washington
1881,"PIZZERIA DAMARCO",443927-4046,"Mountain Dew",571.17,Washington
1882,"PIZZERIA DAMARCO",443927-4046,"Coors Banquet",341.17,Washington
1883,"PIZZERIA DAMARCO",443927-4046,"Natural Light",191.17,Washington
1884,"PIZZERIA DAMARCO",443927-4046,"Coca Cola",551.17,Washington
1885,"PIZZERIA DAMARCO",443927-4046,"Cheese Buger",431.17,Washington
1886,"PIZZERIA DAMARCO",443927-4046,Jameson,711.17,Washington
1887,"PIZZERIA DAMARCO",443927-4046,"Busch Light",181.17,Washington
1888,"PIZZERIA DAMARCO",443927-4046,Pancakes,491.17,Washington
1889,"PIZZERIA DAMARCO",443927-4046,"Artichoke dip",71.17,Washington
431,"Britannia Arms",033266-5462,"Coca Cola",550.49,Georgia
432,"Britannia Arms",033266-5462,"Natural Light",190.49,Georgia
433,"Britannia Arms",033266-5462,Guinness,390.49,Georgia
434,"Britannia Arms",033266-5462,Quesadillas,60.49,Georgia
435,"Britannia Arms",033266-5462,Monster,640.49,Georgia
436,"Britannia Arms",033266-5462,Tsingtao,290.49,Georgia
437,"Britannia Arms",033266-5462,Jameson,710.49,Georgia
438,"Britannia Arms",033266-5462,Snow,270.49,Georgia
439,"Britannia Arms",033266-5462,"Busch Light",180.49,Georgia
440,"Britannia Arms",033266-5462,Pancakes,490.49,Georgia
441,"Britannia Arms",033266-5462,"Cheesecake eggrolls",450.49,Georgia
442,"Britannia Arms",033266-5462,"Lamb Chops",540.49,Georgia
443,"Britannia Arms",033266-5462,Pepsi-Cola,560.49,Georgia
407,"BOCA BOTANA'S",633641-0946,"Natural Light",196.29,Utah
408,"BOCA BOTANA'S",633641-0946,"Miller High Life",146.29,Utah
409,"BOCA BOTANA'S",633641-0946,"Michelob Ultra",216.29,Utah
410,"BOCA BOTANA'S",633641-0946,Busch,176.29,Utah
411,"BOCA BOTANA'S",633641-0946,Bakers,726.29,Utah
412,"BOCA BOTANA'S",633641-0946,Monster,646.29,Utah
413,"BOCA BOTANA'S",633641-0946,Prosscco,686.29,Utah
414,"BOCA BOTANA'S",633641-0946,"Extra Yanjing",286.29,Utah
415,"BOCA BOTANA'S",633641-0946,Guinness,396.29,Utah
416,"BOCA BOTANA'S",633641-0946,"Corona Light",376.29,Utah
417,"BOCA BOTANA'S",633641-0946,"Cheese Buger",436.29,Utah
418,"BOCA BOTANA'S",633641-0946,"Steel Reserve",356.29,Utah
1774,"PARTY TIME LOUNGE",513075-0960,"Chicken Pot Pie",478.05,"New Hampshire"
1775,"PARTY TIME LOUNGE",513075-0960,"Miller Lite",238.05,"New Hampshire"
1776,"PARTY TIME LOUNGE",513075-0960,"Diet Pepsi",598.05,"New Hampshire"
1777,"PARTY TIME LOUNGE",513075-0960,PEARLRIVER,308.05,"New Hampshire"
1778,"PARTY TIME LOUNGE",513075-0960,"Chicken Buger",448.05,"New Hampshire"
1779,"PARTY TIME LOUNGE",513075-0960,"Bulleit 10YR",738.05,"New Hampshire"
1780,"PARTY TIME LOUNGE",513075-0960,"Artichoke dip",78.05,"New Hampshire"
1781,"PARTY TIME LOUNGE",513075-0960,"Cheese Buger",438.05,"New Hampshire"
1782,"PARTY TIME LOUNGE",513075-0960,White,678.05,"New Hampshire"
1783,"PARTY TIME LOUNGE",513075-0960,"Pabst Blue Ribbon",118.05,"New Hampshire"
1784,"PARTY TIME LOUNGE",513075-0960,Prosscco,688.05,"New Hampshire"
2029,SAMOVAR,569005-3193,"Fried Pickles",488.9,Tennessee
2030,SAMOVAR,569005-3193,Tsingtao,368.9,Tennessee
2031,SAMOVAR,569005-3193,"7 Up",708.9,Tennessee
2032,SAMOVAR,569005-3193,Prosscco,758.9,Tennessee
2033,SAMOVAR,569005-3193,Jameson,788.9,Tennessee
2034,SAMOVAR,569005-3193,"Chicken Pot Pie",548.9,Tennessee
2035,SAMOVAR,569005-3193,"Blue Moon",398.9,Tennessee
2036,SAMOVAR,569005-3193,White,748.9,Tennessee
2037,SAMOVAR,569005-3193,"Yuengling Lager",388.9,Tennessee
2038,SAMOVAR,569005-3193,"Strawberry Cheesecake",538.9,Tennessee
2039,SAMOVAR,569005-3193,"Onion rings",98.9,Tennessee
1199,"KOREAN KORNER",252115-9828,"Corona Extra",229.18,Utah
1200,"KOREAN KORNER",252115-9828,"7 Up",639.18,Utah
1201,"KOREAN KORNER",252115-9828,"Cheese Buger",439.18,Utah
1202,"KOREAN KORNER",252115-9828,"Busch Light",189.18,Utah
1203,"KOREAN KORNER",252115-9828,"Coors Banquet",349.18,Utah
1204,"KOREAN KORNER",252115-9828,"Diet Pepsi",599.18,Utah
1205,"KOREAN KORNER",252115-9828,"Extra Yanjing",289.18,Utah
1206,"KOREAN KORNER",252115-9828,"Dos Equis",339.18,Utah
1207,"KOREAN KORNER",252115-9828,"French Toast",489.18,Utah
1208,"KOREAN KORNER",252115-9828,Busch,179.18,Utah
1209,"KOREAN KORNER",252115-9828,"Coors Light",259.18,Utah
895,"FINNEGAN'S WAKE IRISH PUB",267320-6500,Nachos,33.91,Virginia
896,"FINNEGAN'S WAKE IRISH PUB",267320-6500,"Modelo Especial",203.91,Virginia
897,"FINNEGAN'S WAKE IRISH PUB",267320-6500,"Mozzarella sticks",53.91,Virginia
898,"FINNEGAN'S WAKE IRISH PUB",267320-6500,Bakers,723.91,Virginia
899,"FINNEGAN'S WAKE IRISH PUB",267320-6500,"Natural Light",193.91,Virginia
900,"FINNEGAN'S WAKE IRISH PUB",267320-6500,Prosscco,683.91,Virginia
901,"FINNEGAN'S WAKE IRISH PUB",267320-6500,"Pabst Blue Ribbon",113.91,Virginia
902,"FINNEGAN'S WAKE IRISH PUB",267320-6500,"Bulleit 10YR",733.91,Virginia
903,"FINNEGAN'S WAKE IRISH PUB",267320-6500,Red,653.91,Virginia
904,"FINNEGAN'S WAKE IRISH PUB",267320-6500,"Mil’s Best Ice",383.91,Virginia
905,"FINNEGAN'S WAKE IRISH PUB",267320-6500,"Busch Light",183.91,Virginia
906,"FINNEGAN'S WAKE IRISH PUB",267320-6500,"Mountain Dew",573.91,Virginia
1985,"RUSSIAN GOURMET",635427-3838,Budweiser,285.32,Massachusetts
1986,"RUSSIAN GOURMET",635427-3838,Heineken,205.32,Massachusetts
1987,"RUSSIAN GOURMET",635427-3838,"Pabst Blue Ribbon",155.32,Massachusetts
1988,"RUSSIAN GOURMET",635427-3838,"Cheese Buger",475.32,Massachusetts
1989,"RUSSIAN GOURMET",635427-3838,"Modelo Especial",245.32,Massachusetts
1990,"RUSSIAN GOURMET",635427-3838,"Coors Banquet",385.32,Massachusetts
1991,"RUSSIAN GOURMET",635427-3838,Monster,685.32,Massachusetts
1992,"RUSSIAN GOURMET",635427-3838,"Lamb Chops",585.32,Massachusetts
1993,"RUSSIAN GOURMET",635427-3838,Prosscco,725.32,Massachusetts
1994,"RUSSIAN GOURMET",635427-3838,"Busch Light",225.32,Massachusetts
1995,"RUSSIAN GOURMET",635427-3838,"Yuengling Lager",355.32,Massachusetts
1996,"RUSSIAN GOURMET",635427-3838,"Pastrami Hash",575.32,Massachusetts
827,"EL PAISANO",269448-6792,"Strawberry Cheesecake",463.69,Maryland
828,"EL PAISANO",269448-6792,Snow,273.69,Maryland
829,"EL PAISANO",269448-6792,Pancakes,493.69,Maryland
