id,Bar,Street,City,State,Phone,License,Close,Open
38,"WHEATON WINERY","P.O. Box 972, 4092 Tellus Road",Frederick,Maryland,428-933-1479,426942-2970,20:00:00,03:00:00
39,"COUNTRY BOY CLUB","Ap #538-7714 Lobortis St.","Broken Arrow",Oklahoma,485-156-2671,565494-6333,18:00:00,02:00:00
40,"EL ANDARIEGO","Ap #547-6171 Torquent Av.","Cedar Rapids",Iowa,509-618-0842,822937-5764,22:00:00,02:00:00
41,"TWINBROOK BAR","Ap #164-1637 Metus Av.","Grand Island",Nebraska,400-774-6860,792185-8796,22:00:00,04:00:00
42,"HOWARD BAR & GRILL","Ap #693-4444 Mauris Ave",Hillsboro,Oregon,207-951-5605,564383-9375,21:00:00,02:00:00
43,"Little Red Door","P.O. Box 783, 1926 Ornare St.",Augusta,"Rhode Island",605-985-5367,837313-9248,22:00:00,02:00:00
44,"L’avant comptoir du marché","195-7312 Nulla St.",Lincoln,Nebraska,539-708-4444,508969-5034,19:00:00,05:00:00
45,"FOUR U","P.O. Box 917, 5370 Mauris Rd.",Lakewood,Colorado,782-553-1361,436611-7341,19:00:00,04:00:00
46,Candelaria,"5968 Sagittis St.","San Jose",California,625-104-1262,645845-0472,19:00:00,03:00:00
47,SAMANTHA'S,"Ap #275-7390 Nec Rd.","Oklahoma City",Oklahoma,725-676-0017,065321-9717,18:00:00,05:00:00
48,"LOCK 72 KITCHEN & BAR","Ap #768-1065 Sem, Ave",Casper,Wyoming,597-653-2657,797572-9430,18:00:00,01:00:00
49,"Septime La Cave","460-164 Sapien, St.",Nashville,Tennessee,980-375-0432,207005-7456,22:00:00,03:00:00
50,"Castor Club","Ap #351-5396 Posuere Rd.","Des Moines",Iowa,521-311-4388,812147-3998,17:00:00,01:00:00
51,"Le CopperBay","P.O. Box 919, 6527 Dolor. Road",Gresham,"West Virginia",924-907-8239,146626-5681,17:00:00,04:00:00
52,EGGSPECTATION,"406-1153 Sociis Avenue",Springfield,Missouri,181-615-0029,459940-2189,21:00:00,04:00:00
53,"Les Trois 8","P.O. Box 457, 974 Erat St.",Lincoln,Nebraska,804-304-5743,066016-1696,18:00:00,02:00:00
54,"L'Ours Bar","Ap #103-3324 Tincidunt Ave",Springfield,Missouri,171-747-7145,402911-2895,22:00:00,01:00:00
55,"KENTLANDS GOURMET","270-3212 Dui, Avenue",Rochester,"South Carolina",157-324-5962,457142-3666,22:00:00,03:00:00
56,"SHANGHAI VILLAGE","660-4829 Facilisi. St.","New Haven","North Carolina",889-309-6382,329549-8939,17:00:00,03:00:00
57,"La Mezcaleria","Ap #903-3316 Ligula. Rd.",Erie,Pennsylvania,687-487-8633,059219-3288,21:00:00,02:00:00
58,"La Commune","Ap #209-638 Aliquam Street","Great Falls",Montana,940-444-3581,273086-1339,22:00:00,01:00:00
59,"La Fontaine de Belleville","P.O. Box 534, 6329 In Street",Butte,Montana,855-118-3886,035952-6936,19:00:00,03:00:00
60,"LA PANETTERIA ","5465 Lectus Avenue",Worcester,"South Carolina",334-519-5096,189702-8542,18:00:00,03:00:00
61,Combat,"Ap #546-6495 Mauris Av.",Burlington,Vermont,719-934-0367,163829-1896,17:00:00,01:00:00
62,"CUBA DE AYER","5682 Amet Rd.",Houston,"New Hampshire",693-573-7956,746894-2946,22:00:00,01:00:00
63,"THE YO YO CAFE","P.O. Box 750, 4458 Vivamus Road",Houston,"New Hampshire",826-754-0854,347113-2062,18:00:00,05:00:00
64,"En Vrac","P.O. Box 944, 5805 Id St.","Fort Worth","New Hampshire",711-171-9707,065245-1634,19:00:00,03:00:00
65,"EL MARIACHI","501-9486 Lectus Rd.",Reading,Pennsylvania,415-569-4396,107629-9856,20:00:00,05:00:00
66,"HANARO RESTAURANT AND LOUNGE","838-5765 Ut St.",Meridian,Idaho,967-847-0556,367303-7044,18:00:00,02:00:00
67,Moonshiner,"Ap #154-5546 Nibh Rd.",Tampa,Florida,400-855-9956,807305-7500,17:00:00,02:00:00
68,"A.P. Stump's","Ap #423-4519 Diam. Ave",Toledo,Ohio,519-336-0961,MA12347,19:00:00,02:00:00
69,"La Fine Mousse","P.O. Box 133, 2860 Penatibus St.",Colchester,Vermont,721-291-2653,234798-4284,21:00:00,04:00:00
70,"Bar Hemingway","P.O. Box 876, 4433 Nec St.","Broken Arrow",Oklahoma,450-912-1402,573547-0154,18:00:00,04:00:00
71,CLYDE'S,"P.O. Box 981, 1408 In Rd.",Cambridge,"South Carolina",955-957-7991,098193-2403,20:00:00,05:00:00
72,"Chez Ammad","2048 Purus. Av.",Wilmington,Delaware,941-762-1569,195979-2548,18:00:00,03:00:00
73,Bisou,"184-7943 Gravida Rd.",Lowell,"Rhode Island",760-950-8509,152664-4651,22:00:00,01:00:00
74,"Le Tr?s Particulier","6975 Non Av.","San Diego",California,245-340-5155,432512-8710,20:00:00,04:00:00
75,"Aux Folies","P.O. Box 806, 6609 Lobortis Road",Orlando,Florida,651-699-7474,178856-0090,18:00:00,03:00:00
76,"TARA THAI","P.O. Box 830, 7977 Ornare. Street",Aurora,Colorado,461-506-2228,514464-4324,20:00:00,01:00:00
77,"ADDISU GEBEYA","P.O. Box 295, 5603 Natoque Rd.","Kansas City",Kansas,173-506-7537,659375-5835,19:00:00,04:00:00
78,"Le Sherry Butt","P.O. Box 564, 5061 Sit Av.",Stamford,"North Dakota",349-390-6380,024478-0706,19:00:00,04:00:00
79,"Monsieur Antoine","9237 Vehicula Street",Juneau,"New York",410-516-6390,522107-1714,21:00:00,02:00:00
80,"AY! JALISCO II","Ap #190-9436 At St.","Fort Collins","North Dakota",952-807-6151,622517-0445,20:00:00,04:00:00
81,"NEWS EXPRESS","P.O. Box 848, 5089 Gravida Avenue",Tulsa,Oklahoma,160-109-1328,615857-5438,17:00:00,01:00:00
82,"Winil Wine Bar","866-6549 Sem Rd.","Sioux City",Iowa,602-262-1985,348656-7617,20:00:00,05:00:00
83,"POSITANO RISTORANTE ITALIANO","P.O. Box 806, 6406 Pellentesque Ave",Gaithersburg,Maryland,152-967-3511,784026-4704,18:00:00,01:00:00
84,"TASTE OF EUROPE","P.O. Box 837, 5947 Montes, Street",Sandy,Utah,351-924-5074,383254-4286,20:00:00,05:00:00
85,"L'Avant Comptoir de la Mer","139-9166 Sociis Rd.",Fayetteville,Arkansas,852-145-9715,972787-2484,20:00:00,01:00:00
86,"Bar Neon Monkey","8023 Sodales. Avenue",Nampa,Idaho,189-641-0053,829829-6701,21:00:00,03:00:00
87,"Bar Italiya","564-3977 Libero Rd.",Knoxville,Tennessee,408-120-9222,278532-0199,17:00:00,03:00:00
88,Neko,"7522 Nec Avenue",Miami,Florida,299-401-6781,097147-8367,21:00:00,04:00:00
89,Porosello,"P.O. Box 701, 2102 Ornare. Ave",Chicago,Illinois,554-647-1192,775033-0743,17:00:00,05:00:00
90,"TOTAL BAR","Ap #386-5711 Mauris Rd.",Chicago,Illinois,983-106-1812,532821-8028,18:00:00,03:00:00
91,"Guns & Bears Pub","3203 Luctus, Avenue",Shreveport,Louisiana,605-509-0699,066604-4524,22:00:00,05:00:00
92,"DOCK OF THE BAY","6134 Non, Rd.","Little Rock",Arkansas,790-526-9983,835167-6583,22:00:00,02:00:00
93,"Belgian Pub BeerHouse","P.O. Box 285, 9349 Magna. St.","Kansas City",Kansas,375-273-6305,416665-7371,19:00:00,04:00:00
94,"MIDWAY PUB","6268 Curabitur Road",Columbia,Maryland,545-467-9968,589827-6299,21:00:00,02:00:00
95,"ARIA BAR & GRILL","Ap #369-1970 Vel Av.",Dover,Delaware,429-947-5631,705071-9785,17:00:00,01:00:00
96,"B & B ","1038 Sit Ave",Pocatello,"Rhode Island",467-910-5081,567607-2878,22:00:00,03:00:00
97,"EL AMATE RESTAURANT","945 Vitae Av.",Bellevue,Washington,729-648-8982,284564-0263,21:00:00,04:00:00
98,"METRO CLUB","P.O. Box 753, 9068 In, Avenue","Little Rock",Arkansas,505-442-3555,289884-2378,17:00:00,03:00:00
99,"Pivbar Kolomenskoye","Ap #236-7617 Mollis. Av.",Waterbury,Connecticut,160-340-9031,365700-4523,17:00:00,03:00:00
100,"Connolly Station","P.O. Box 571, 4590 A Rd.",Rutland,Vermont,528-133-9140,638134-8991,22:00:00,05:00:00
101,Vermuteria,"P.O. Box 349, 6787 Lacinia St.",Gillette,Wyoming,294-346-4072,196332-2001,21:00:00,01:00:00
102,M&BZ,"P.O. Box 130, 2374 Fusce Avenue",Vancouver,Washington,686-741-4286,474140-4315,22:00:00,04:00:00
103,"Podozritelnye Litsa Bar","336-8523 Congue Road",Tuscaloosa,Alabama,814-337-7688,285412-1965,18:00:00,05:00:00
104,"LOS CHORROS RESTAURANT","P.O. Box 875, 5892 Aliquet. Avenue",Gresham,Oregon,741-731-3962,637478-3600,17:00:00,05:00:00
105,"TRATTORIA SORRENTO","Ap #793-4727 Ut St.",Louisville,Kentucky,936-517-8850,692127-6439,21:00:00,04:00:00
106,"The Lounge","P.O. Box 616, 1804 Hendrerit Street","Baton Rouge",Louisiana,829-799-6292,557061-3801,17:00:00,03:00:00
107,"SALA THAI ","Ap #909-8936 Aliquam Rd.",Juneau,"New York",640-475-4228,339365-4516,19:00:00,04:00:00
108,"SOL AZTECA RESTAURANT","727-6430 Imperdiet Rd.",Tuscaloosa,Alabama,167-661-0191,844222-4211,22:00:00,05:00:00
109,N-EUROMART,"Ap #467-1324 Ad Rd.","Sioux City",Iowa,825-603-8470,913546-5087,20:00:00,05:00:00
110,"John Donne Pub","909-8753 Per Ave","South Bend",Indiana,101-817-2072,575493-8545,21:00:00,05:00:00
111,"Mandy's Apothecary Irish Pub","P.O. Box 450, 8740 Aliquet St.","New Haven",Connecticut,723-830-6524,036932-8331,20:00:00,03:00:00
112,"LA FERME","P.O. Box 238, 8841 Et St.",Lowell,Massachusetts,570-171-7634,978070-9847,18:00:00,01:00:00
113,"MRS. K'S TOLL HOUSE","P.O. Box 586, 5529 Felis Rd.",Sandy,Utah,242-497-9409,204463-2632,20:00:00,04:00:00
114,"ALL SET","828-3194 Interdum Ave",Gillette,Wyoming,132-628-7265,604478-1638,22:00:00,05:00:00
115,"Ulysses Pub","Ap #478-8029 Vitae, Street",Colchester,Vermont,776-965-4467,603310-5963,17:00:00,01:00:00
116,Cabana,"P.O. Box 777, 805 Augue Ave",Hartford,Connecticut,565-820-1863,012286-7948,17:00:00,04:00:00
117,"WOODMONT GRILL","Ap #558-386 Lorem St.","Broken Arrow","West Virginia",381-880-2531,277650-5097,18:00:00,02:00:00
118,"Khoroshaya Ideya","Ap #174-9280 Amet Avenue","Broken Arrow","West Virginia",819-257-2812,627149-2743,18:00:00,05:00:00
119,"Lord John Russell Pub","156-4003 Accumsan Rd.","Rock Springs",Wyoming,232-837-5389,804154-3375,21:00:00,05:00:00
120,"SHALOM STRICTLY KOSHER MEATS","P.O. Box 826, 3376 In St.",Miami,Florida,850-966-4694,077097-3972,20:00:00,01:00:00
121,Beerodrom,"Ap #432-5076 Tortor Road","San Antonio","New Jersey",975-225-5660,005882-9151,22:00:00,04:00:00
122,"DULCINEA BAR & GRILL","Ap #129-9995 Eget Ave",Kearney,"South Dakota",421-355-7106,155187-4140,19:00:00,05:00:00
123,Tweed&Stout,"810-9146 Erat Av.",Pittsburgh,Pennsylvania,301-370-6349,443862-2740,20:00:00,05:00:00
124,"DUCK DUCK GOOSE","9509 Quis Rd.",Eugene,Oregon,106-813-1191,844789-9843,22:00:00,03:00:00
125,"THE GREENE TURTLE-Az","Ap #706-512 Odio Street",Glendale,Arizona,557-558-1128,272426-2650,22:00:00,01:00:00
126,"SPRING BEER HOUSE","P.O. Box 831, 665 Velit Av.","Las Vegas",Nevada,709-254-5097,556027-9498,20:00:00,04:00:00
127,"GOURMET PUB","P.O. Box 923, 1140 Quis Av.",Indianapolis,Indiana,309-340-2868,238323-5054,21:00:00,01:00:00
128,"KINGSVIEW CLUB","P.O. Box 573, 3957 Pretium Avenue",Paradise,Nevada,788-868-1844,047272-1463,22:00:00,01:00:00
129,Bruxelles,"Ap #861-3366 Ornare Ave","Carson City",Nevada,685-367-5712,935080-2824,17:00:00,02:00:00
130,SAFEWAY,"891-7494 Mauris Street",Georgia,Georgia,214-255-1606,076279-9393,21:00:00,03:00:00
131,Anderdog,"P.O. Box 682, 2398 Natoque Avenue",Georgia,Georgia,237-768-1013,426308-0014,17:00:00,04:00:00
132,"AY! JALISCO","Ap #654-2567 Venenatis St.",Wilmington,"North Dakota",283-882-2474,139198-2533,22:00:00,03:00:00
133,"JO'S BEER-WINE","P.O. Box 876, 4816 Tincidunt Rd.",Jackson,Mississippi,767-441-7049,422040-9934,17:00:00,03:00:00
134,"DAD'S BEER ","Ap #870-7987 Velit. Street",Harrisburg,Pennsylvania,113-708-1153,987820-7241,17:00:00,04:00:00
135,"Genatzvale Hall","1607 Tortor, Street","Saint Louis",Missouri,984-912-0553,825794-2857,17:00:00,04:00:00
136,"Roy Castle Pub","1486 Dui. Rd.",Pittsburgh,"West Virginia",870-996-8701,026389-3547,19:00:00,03:00:00
137,"TAKOMA PARK PUB","Ap #524-499 Sem, Ave",Paradise,Nevada,958-963-3513,562552-4672,22:00:00,02:00:00
138,Budvar,"Ap #776-1982 Malesuada St.",Portland,Maine,563-122-7955,826130-4276,19:00:00,02:00:00
139,"OLD TOWN POUR HOUSE","Ap #700-5460 Purus, Avenue","Rock Springs",Wyoming,638-774-1715,722716-4519,22:00:00,01:00:00
140,"Yan Primus","Ap #118-6095 Enim. St.","Salt Lake City","New Jersey",807-914-8415,255119-6765,18:00:00,02:00:00
141,"MAPLE BEER AND WINE","P.O. Box 327, 6218 Auctor Ave",Savannah,Georgia,352-918-9118,624171-7682,19:00:00,05:00:00
142,"John Bull Pub","3453 Enim Rd.",Kenosha,Wisconsin,896-206-7542,936645-6904,21:00:00,04:00:00
143,"Molly Gwynn's","P.O. Box 129, 1225 Pharetra. Street","Des Moines",Iowa,379-471-7657,408783-4273,20:00:00,04:00:00
144,Respublika,"P.O. Box 443, 3936 Sit Rd.",Owensboro,Kentucky,291-672-3163,457966-5128,18:00:00,04:00:00
145,"STAINED GLASS PUB","Ap #111-2526 Ligula Av.","Virginia Beach",Virginia,128-508-8325,033215-5373,21:00:00,04:00:00
146,"Beertep Craft Pub","911-3638 Sem, Street",Detroit,Michigan,758-976-1815,052726-7009,20:00:00,01:00:00
147,"CRISTINA'S ITALIAN RISTORANTE","465-9546 Purus Avenue",Fairbanks,"New York",230-327-3857,944800-8871,21:00:00,04:00:00
148,"Humble Grape - Battersea","Ap #982-7885 In Ave",Madison,Wisconsin,498-163-0380,289362-8384,18:00:00,05:00:00
149,"OLAZZO RESTAURANT","P.O. Box 318, 8477 Nunc Ave","Colorado Springs",Colorado,297-502-0064,544976-6244,17:00:00,05:00:00
150,"HOP N GRAPE","152-4701 Odio, Street",Meridian,Idaho,353-259-8084,197460-5337,19:00:00,01:00:00
151,"CHOICE ","P.O. Box 934, 2280 Quisque Road","Jefferson City",Missouri,424-617-9529,075626-4206,17:00:00,03:00:00
152,"TOMMY JOE'S BAR & GRILL","Ap #427-9387 Vitae St.","Oklahoma City","West Virginia",426-769-9777,538974-8509,19:00:00,03:00:00
153,"Tavern U Okolitsy","3273 Odio Avenue",Covington,Kentucky,432-891-7514,302168-0412,19:00:00,04:00:00
154,"CANA BEER & WINE","Ap #793-5862 Eu, St.",Tucson,Arizona,960-479-8390,192695-6895,20:00:00,04:00:00
155,"Satan's Whiskers","P.O. Box 888, 9279 Egestas Road",Springfield,Illinois,534-212-3793,786366-9730,21:00:00,01:00:00
156,"Beaufort Bar","P.O. Box 837, 8071 Euismod Road",Aurora,Illinois,798-807-4606,934943-7856,18:00:00,02:00:00
157,"The Bar at The Dorchester","P.O. Box 444, 1985 Integer Rd.",Duluth,"South Carolina",788-265-8326,137269-3752,18:00:00,03:00:00
158,"TARA THAI RESTAURANT","Ap #344-9307 Ac Ave","Saint Paul",Minnesota,588-924-6059,033029-0636,17:00:00,02:00:00
159,"SOUTHLAWN RESTAURANT","P.O. Box 456, 7827 Magna, Street",Orlando,Florida,842-431-6627,558375-0236,20:00:00,05:00:00
160,"Ye Olde Mitre","P.O. Box 433, 7835 Vitae St.","Sioux City",Iowa,265-812-0550,379956-5316,22:00:00,05:00:00
161,BALDUCCI'S,"Ap #519-939 Tristique Street",Henderson,Nevada,974-132-4968,189932-3255,17:00:00,01:00:00
162,Artesian,"P.O. Box 803, 6889 Ut, Avenue",Tampa,Florida,116-974-1602,023683-4925,22:00:00,03:00:00
163,"CHICKEN BASKET","8512 Scelerisque Ave",Boston,Massachusetts,845-925-4024,392762-0769,20:00:00,02:00:00
164,"MOBY DICK SEAFOOD","6995 Dapibus Street","Des Moines","New Mexico",176-510-9958,953947-6565,21:00:00,04:00:00
165,"CRISFIELD SEAFOOD RESTAURANT","P.O. Box 522, 3751 Ut Rd.",Springdale,Arkansas,889-988-7244,195256-6840,17:00:00,04:00:00
166,"OLNEY ALE HOUSE","P.O. Box 239, 9551 Quisque Rd.",Lawton,Oklahoma,388-305-0624,103007-8750,17:00:00,02:00:00
167,"PETERS CARRY OUT","8097 Sed, Ave",Wilmington,Delaware,984-322-6570,825935-7435,20:00:00,05:00:00
168,"MAMA WOK","980-8990 Et Rd.",Houston,"New Jersey",883-612-4802,975515-0035,21:00:00,02:00:00
169,"The Rivoli Bar","P.O. Box 345, 2298 Ornare, St.",Auburn,Maine,232-731-7131,726147-6027,22:00:00,01:00:00
170,"The Bloomsbury Club Bar","Ap #955-4270 Aliquet. Rd.",Lawton,Oklahoma,687-557-1451,032912-1156,21:00:00,01:00:00
171,"PINES OF ROME","Ap #757-4071 Nunc. Rd.",Lowell,Massachusetts,139-707-4262,012827-6557,19:00:00,05:00:00
172,"BETHESDA CRAB HOUSE","P.O. Box 438, 420 Molestie. Road","Fort Collins",Colorado,321-421-2448,789601-4995,17:00:00,01:00:00
173,"THE GREENE TURTLE-Ab","805-6530 Arcu. Avenue",Tuscaloosa,Alabama,209-487-8295,806320-3064,18:00:00,01:00:00
174,"PETER CHANG'S CHINA BISTRO","P.O. Box 527, 6110 Feugiat. Rd.",Gillette,Wyoming,496-327-9892,578989-6023,22:00:00,02:00:00
175,"HOT POT LEGEND","P.O. Box 863, 2438 Sed Rd.",Springfield,Illinois,456-921-7253,268449-3063,22:00:00,02:00:00
176,"AJI-NIPPON RESTAURANT","595-7677 Fames Av.",Huntsville,Alabama,687-179-4514,102739-1075,17:00:00,02:00:00
177,"PETER'S GRILL","P.O. Box 776, 2721 Ac Ave",Georgia,Georgia,891-135-1304,567033-1627,20:00:00,02:00:00
178,"YEKTA KABOBI","P.O. Box 227, 7690 Dapibus Road",Shreveport,Louisiana,561-560-2987,018125-2537,17:00:00,05:00:00
179,"SIU'S ASIAN BISTRO","590-8882 Et St.",Cincinnati,Ohio,611-573-6466,647562-0404,18:00:00,05:00:00
180,"Kings Stores","6464 Venenatis Av.",Montpelier,Vermont,353-898-2561,905752-1115,17:00:00,01:00:00
181,"EL PATIO","Ap #516-4343 Donec Road","Baton Rouge",Louisiana,624-495-8595,266006-4748,22:00:00,03:00:00
182,"MIX BAR & GRILL","3862 Eget Rd.",Columbus,Georgia,616-632-2776,167553-1543,17:00:00,04:00:00
183,"Blind Spot","P.O. Box 441, 5963 Litora Street",Davenport,"New Mexico",529-987-2065,065747-2833,22:00:00,05:00:00
184,"EVA LOUNGE","P.O. Box 323, 5200 Eleifend Av.","Saint Paul",Minnesota,344-442-6030,243206-3382,19:00:00,01:00:00
185,"Belowzero Ice Bar","7742 Mauris Road",Dallas,Texas,657-252-9372,679007-3636,20:00:00,04:00:00
186,"CHEESESTEAK MIKE'S","P.O. Box 915, 8212 Blandit Rd.",Sacramento,California,836-900-8005,214195-2529,20:00:00,02:00:00
187,"RED BOWL","956-8894 Fusce Ave","San Antonio",Texas,538-195-6522,707445-3676,19:00:00,02:00:00
188,"ATTMAN'S BAR & GRILL","7660 Diam Ave",Columbus,Ohio,909-257-1286,548813-2340,20:00:00,03:00:00
189,"UNPLUGGED SPORT BAR & RESTAURANT","Ap #469-4524 Purus, St.",Detroit,Michigan,335-130-7863,703500-7595,20:00:00,02:00:00
190,"PERUVIAN COUNTRY CHICKEN & BEER","Ap #893-4993 Gravida. Ave",Fairbanks,Alaska,213-261-6443,443434-1709,21:00:00,05:00:00
191,"The Wigmore","Ap #939-8545 Ornare, Rd.",Norfolk,Virginia,256-627-3184,785196-5934,19:00:00,01:00:00
192,"ARMAND'S PIZZERIA & GRILLE","P.O. Box 272, 4226 Nascetur Ave",Lewiston,Maine,320-877-4446,506492-2536,22:00:00,04:00:00
193,"TAIPEI CAFE","7969 Nec, St.","Bowling Green",Kentucky,392-395-8222,083408-0624,19:00:00,02:00:00
194,"THAI TASTE","Ap #218-784 Sed Rd.","West Jordan",Utah,727-693-0316,393201-0154,19:00:00,03:00:00
195,"TOKYO SUSHI","Ap #892-6709 Aenean Street",Lafayette,Louisiana,747-889-9571,963932-2784,20:00:00,01:00:00
196,"The Coral Room","P.O. Box 480, 7184 Tempor St.",Dallas,Texas,958-391-2685,336670-1716,21:00:00,03:00:00
197,"St. George's Tavern","P.O. Box 668, 9030 Eget, Rd.","Overland Park",Kansas,316-441-4124,922270-1568,20:00:00,05:00:00
198,"The Camel Pub","Ap #220-5924 Elit Av.",Southaven,Mississippi,231-279-3864,987575-5317,19:00:00,02:00:00
199,"Long Bar","7569 Magna. St.",Lexington,Kentucky,870-334-7444,395573-9457,18:00:00,03:00:00
200,"The Duke Of Argyll","926 Et Rd.",Jackson,Mississippi,598-609-3730,452548-3394,19:00:00,02:00:00
201,"RUANG KHAO THAI CUISINE","Ap #637-2265 Purus. St.",Covington,"New Mexico",929-175-0137,473565-3935,18:00:00,03:00:00
202,"MAMMA LENA","332-4345 Egestas St.",Rockford,Illinois,734-174-1421,287813-8268,20:00:00,01:00:00
203,SHANGRI'LA,"P.O. Box 767, 8687 Nibh St.",Ketchikan,Alaska,548-323-7696,392381-3350,17:00:00,01:00:00
204,"NEW VILLAGE RESTAURANT","Ap #664-5097 Urna. Rd.",Stamford,Connecticut,539-192-3855,034706-7472,17:00:00,03:00:00
205,"BARREL & CROW","308-3589 Vestibulum Street",Honolulu,Hawaii,462-867-5179,938023-9690,17:00:00,05:00:00
206,"Purple Bar at Sanderson","4770 Magna. St.",Knoxville,Tennessee,183-806-0117,016922-4284,21:00:00,01:00:00
207,SASUNS,"P.O. Box 168, 5382 Dolor. Rd.","West Jordan",Utah,338-572-1077,239755-5612,18:00:00,03:00:00
208,"WATERSHED CAFE","790 Praesent Road",Houston,Texas,362-286-2759,668344-5222,21:00:00,01:00:00
209,"SEOULFOOD DC","Ap #499-3712 Pede. St.","Carson City",Nevada,458-851-2806,328119-7933,20:00:00,03:00:00
210,"TEX'S PLACE","Ap #864-7380 Ipsum Rd.",Metairie,Louisiana,252-720-5673,137395-0748,22:00:00,02:00:00
