ItemID,Bar,License,Item,Price
67,"ARIA BAR & GRILL",705071-9785,Bakers,723.21
68,"ARIA BAR & GRILL",705071-9785,"Cheesecake eggrolls",453.21
69,"ARIA BAR & GRILL",705071-9785,White,673.21
70,"ARIA BAR & GRILL",705071-9785,"Coors Banquet",343.21
71,"ARIA BAR & GRILL",705071-9785,"Busch Light",183.21
72,"ARIA BAR & GRILL",705071-9785,Monster,643.21
73,"ARIA BAR & GRILL",705071-9785,"7 Up",633.21
74,"ARMAND'S PIZZERIA & GRILLE",506492-2536,"Bud Ice",124.93
75,"ARMAND'S PIZZERIA & GRILLE",506492-2536,"Tater Tots",404.93
76,"ARMAND'S PIZZERIA & GRILLE",506492-2536,"Mello Yello",624.93
77,"ARMAND'S PIZZERIA & GRILLE",506492-2536,"Natural Light",194.93
78,"ARMAND'S PIZZERIA & GRILLE",506492-2536,"Corona Extra",224.93
79,"ARMAND'S PIZZERIA & GRILLE",506492-2536,Monster,644.93
80,"ARMAND'S PIZZERIA & GRILLE",506492-2536,Prosscco,684.93
81,"ARMAND'S PIZZERIA & GRILLE",506492-2536,"French Toast",484.93
82,"ARMAND'S PIZZERIA & GRILLE",506492-2536,"Mountain Dew",574.93
83,"ARMAND'S PIZZERIA & GRILLE",506492-2536,"Chicken Buger",444.93
84,"ARMAND'S PIZZERIA & GRILLE",506492-2536,Red,654.93
85,Artesian,023683-4925,Heineken,163.7
86,Artesian,023683-4925,Sprite,583.7
87,Artesian,023683-4925,Nachos,33.7
88,Artesian,023683-4925,"Mountain Dew",573.7
89,Artesian,023683-4925,"Purple Rain",743.7
90,Artesian,023683-4925,"Steel Reserve",353.7
91,Artesian,023683-4925,Tsingtao,293.7
92,Artesian,023683-4925,"Keystone Light",153.7
93,Artesian,023683-4925,"Corona Extra",223.7
94,Artesian,023683-4925,"Michelob Ultra",213.7
95,Artesian,023683-4925,"Stella Artois",133.7
96,Artesian,023683-4925,"Natural Light",193.7
97,"ASPEN HILL BAR & GRILL",122581-2526,"Stella Artois",132.98
98,"ASPEN HILL BAR & GRILL",122581-2526,"Artichoke dip",72.98
99,"ASPEN HILL BAR & GRILL",122581-2526,"7 Up",632.98
100,"ASPEN HILL BAR & GRILL",122581-2526,Bakers,722.98
101,"ASPEN HILL BAR & GRILL",122581-2526,"Bud Ice",122.98
102,"ASPEN HILL BAR & GRILL",122581-2526,"Bud Light",262.98
103,"ASPEN HILL BAR & GRILL",122581-2526,"Purple Rain",742.98
104,"ASPEN HILL BAR & GRILL",122581-2526,Wings,42.98
105,"ASPEN HILL BAR & GRILL",122581-2526,"Mozzarella sticks",52.98
106,"ASPEN HILL BAR & GRILL",122581-2526,"Coca Cola",552.98
107,"ASPEN HILL BAR & GRILL",122581-2526,White,672.98
108,"ATTMAN'S BAR & GRILL",548813-2340,"Lamb Chops",548.45
109,"ATTMAN'S BAR & GRILL",548813-2340,Sprite,588.45
110,"ATTMAN'S BAR & GRILL",548813-2340,"Corona Extra",228.45
111,"ATTMAN'S BAR & GRILL",548813-2340,"Cheese Buger",438.45
112,"ATTMAN'S BAR & GRILL",548813-2340,Red,658.45
113,"ATTMAN'S BAR & GRILL",548813-2340,"French Toast",488.45
114,"ATTMAN'S BAR & GRILL",548813-2340,Guinness,398.45
115,"ATTMAN'S BAR & GRILL",548813-2340,Monster,648.45
116,"ATTMAN'S BAR & GRILL",548813-2340,"Fried Pickles",418.45
117,"ATTMAN'S BAR & GRILL",548813-2340,"Mozzarella sticks",58.45
118,"ATTMAN'S BAR & GRILL",548813-2340,"Yuengling Lager",318.45
119,"ATTMAN'S BAR & GRILL",548813-2340,PEARLRIVER,308.45
120,"Aux Folies",178856-0090,"Dos Equis",330.26
121,"Aux Folies",178856-0090,"Mozzarella sticks",50.26
122,"Aux Folies",178856-0090,"Stella Artois",130.26
123,"Aux Folies",178856-0090,PEARLRIVER,300.26
124,"Aux Folies",178856-0090,"Coors Light",250.26
125,"Aux Folies",178856-0090,"Cheese Buger",430.26
126,"Aux Folies",178856-0090,"Tater Tots",400.26
127,"Aux Folies",178856-0090,"Diet Dr Pepper",600.26
128,"Aux Folies",178856-0090,"Onion rings",20.26
129,"Aux Folies",178856-0090,Milestones,690.26
130,"Aux Folies",178856-0090,Red,650.26
131,"Aux Folies",178856-0090,Pepsi-Cola,560.26
132,"AY! JALISCO",139198-2533,"Farro Salad",80.26
133,"AY! JALISCO",139198-2533,"Modelo Especial",200.26
134,"AY! JALISCO",139198-2533,Icehouse,360.26
135,"AY! JALISCO",139198-2533,"Bulleit 10YR",730.26
136,"AY! JALISCO",139198-2533,Sprite,580.26
137,"AY! JALISCO",139198-2533,Omelet,520.26
138,"AY! JALISCO",139198-2533,"Corona Extra",220.26
139,"AY! JALISCO",139198-2533,Jameson,710.26
140,"AY! JALISCO",139198-2533,"Cheesecake eggrolls",450.26
141,"AY! JALISCO",139198-2533,"Fish & Chip",420.26
142,"AY! JALISCO",139198-2533,"Chicken Pot Pie",470.26
143,"AY! JALISCO",139198-2533,"Natural Light",190.26
144,"AY! JALISCO II",622517-0445,"Fried Pickles",410.26
145,"AY! JALISCO II",622517-0445,"Strawberry Cheesecake",460.26
146,"AY! JALISCO II",622517-0445,"7 Up",630.26
147,"AY! JALISCO II",622517-0445,"Miller Lite",230.26
148,"AY! JALISCO II",622517-0445,Wings,40.26
149,"AY! JALISCO II",622517-0445,Heineken,160.26
150,"AY! JALISCO II",622517-0445,"Lamb Chops",540.26
151,"AY! JALISCO II",622517-0445,"Mil’s Best Ice",380.26
152,"AY! JALISCO II",622517-0445,"Corona Light",370.26
153,"AY! JALISCO II",622517-0445,Monster,640.26
154,"AY! JALISCO II",622517-0445,"Pabst Blue Ribbon",110.26
155,"AY! JALISCO II",622517-0445,"Purple Rain",740.26
156,"B & B ",567607-2878,"Mountain Dew",570.26
157,"B & B ",567607-2878,Busch,170.26
158,"B & B ",567607-2878,"Yuengling Lager",310.26
159,"B & B ",567607-2878,"Miller High Life",140.26
160,"B & B ",567607-2878,"Bud Ice",120.26
161,"B & B ",567607-2878,"Blue Moon",320.26
162,"B & B ",567607-2878,"Artichoke dip",70.26
163,"B & B ",567607-2878,Prosscco,680.26
164,"B & B ",567607-2878,"Coors Banquet",340.26
165,"B & B ",567607-2878,"Chicken Buger",440.26
166,"B & B ",567607-2878,Budweiser,240.26
167,"B & B ",567607-2878,"French fries",10.26
168,"BACCHUS OF LEBANON",397549-9173,Pancakes,490.26
169,"BACCHUS OF LEBANON",397549-9173,"Steel Reserve",350.26
170,"BACCHUS OF LEBANON",397549-9173,"Bud Light",260.26
171,"BACCHUS OF LEBANON",397549-9173,Nachos,30.26
172,"BACCHUS OF LEBANON",397549-9173,"Michelob Ultra",210.26
173,"BACCHUS OF LEBANON",397549-9173,Quesadillas,60.26
174,"BACCHUS OF LEBANON",397549-9173,"Corpse Reviver 212",700.26
175,"BACCHUS OF LEBANON",397549-9173,Bakers,720.26
176,"BACCHUS OF LEBANON",397549-9173,Steak,500.26
177,"BACCHUS OF LEBANON",397549-9173,"Busch Light",180.26
178,"BACCHUS OF LEBANON",397549-9173,"French Toast",480.26
179,"BACCHUS OF LEBANON",397549-9173,"Extra Yanjing",280.26
180,BALDUCCI'S,189932-3255,Guinness,390.26
181,BALDUCCI'S,189932-3255,Fanta,610.26
182,BALDUCCI'S,189932-3255,"Diet Pepsi",590.26
183,BALDUCCI'S,189932-3255,"Coca Cola",550.26
184,BALDUCCI'S,189932-3255,Tsingtao,290.26
185,BALDUCCI'S,189932-3255,Rose,660.26
186,BALDUCCI'S,189932-3255,"Iresh Breakfast",510.26
187,BALDUCCI'S,189932-3255,White,670.26
188,BALDUCCI'S,189932-3255,Snow,270.26
189,BALDUCCI'S,189932-3255,"Pastrami Hash",530.26
190,BALDUCCI'S,189932-3255,"Mello Yello",620.26
191,BALDUCCI'S,189932-3255,"Keystone Light",150.26
192,"BANGKOK GARDEN RESTAURANT",577007-7120,Guinness,395.22
193,"BANGKOK GARDEN RESTAURANT",577007-7120,"Stella Artois",135.22
194,"BANGKOK GARDEN RESTAURANT",577007-7120,"Strawberry Cheesecake",465.22
195,"BANGKOK GARDEN RESTAURANT",577007-7120,PEARLRIVER,305.22
196,"BANGKOK GARDEN RESTAURANT",577007-7120,"Pabst Blue Ribbon",115.22
197,"BANGKOK GARDEN RESTAURANT",577007-7120,"Lamb Chops",545.22
198,"BANGKOK GARDEN RESTAURANT",577007-7120,Sprite,585.22
199,"BANGKOK GARDEN RESTAURANT",577007-7120,"Cheesecake eggrolls",455.22
200,"BANGKOK GARDEN RESTAURANT",577007-7120,Milestones,695.22
201,"BANGKOK GARDEN RESTAURANT",577007-7120,Red,655.22
202,"BANGKOK GARDEN RESTAURANT",577007-7120,"Chicken Pot Pie",475.22
203,"BANGKOK GARDEN RESTAURANT",577007-7120,"Mello Yello",625.22
204,"Bar Hemingway",573547-0154,Busch,175.22
205,"Bar Hemingway",573547-0154,Jameson,715.22
206,"Bar Hemingway",573547-0154,"Busch Light",185.22
207,"Bar Hemingway",573547-0154,"Yuengling Lager",315.22
208,"Bar Hemingway",573547-0154,"Extra Yanjing",285.22
209,"Bar Hemingway",573547-0154,Snow,275.22
210,"Bar Hemingway",573547-0154,"Mil’s Best Ice",385.22
211,"Bar Hemingway",573547-0154,"Pastrami Hash",535.22
212,"Bar Hemingway",573547-0154,"Mozzarella sticks",55.22
213,"Bar Hemingway",573547-0154,"7 Up",635.22
214,"Bar Hemingway",573547-0154,Milestones,695.22
215,"Bar Hemingway",573547-0154,Red,655.22
216,"Bar Italiya",278532-0199,"Mil’s Best Ice",389.02
217,"Bar Italiya",278532-0199,Snow,279.02
218,"Bar Italiya",278532-0199,Rose,669.02
219,"Bar Italiya",278532-0199,Pancakes,499.02
220,"Bar Italiya",278532-0199,"Busch Light",189.02
221,"Bar Italiya",278532-0199,"Miller High Life",149.02
222,"Bar Italiya",278532-0199,"Coors Banquet",349.02
223,"Bar Italiya",278532-0199,"Tater Tots",409.02
224,"Bar Italiya",278532-0199,Bakers,729.02
225,"Bar Italiya",278532-0199,"Yuengling Lager",319.02
226,"Bar Italiya",278532-0199,"Pabst Blue Ribbon",119.02
227,"Bar Italiya",278532-0199,"Artichoke dip",79.02
228,"Bar Neon Monkey",829829-6701,Pepsi-Cola,569.02
229,"Bar Neon Monkey",829829-6701,"Bud Light",269.02
230,"Bar Neon Monkey",829829-6701,"Purple Rain",749.02
231,"Bar Neon Monkey",829829-6701,"Farro Salad",89.02
232,"Bar Neon Monkey",829829-6701,Guinness,399.02
233,"Bar Neon Monkey",829829-6701,Quesadillas,69.02
234,"Bar Neon Monkey",829829-6701,"Iresh Breakfast",519.02
235,"Bar Neon Monkey",829829-6701,"French Toast",489.02
236,"Bar Neon Monkey",829829-6701,"Mozzarella sticks",59.02
237,"Bar Neon Monkey",829829-6701,"Steel Reserve",359.02
238,"Bar Neon Monkey",829829-6701,"Coca Cola",559.02
239,"Bar Neon Monkey",829829-6701,Prosscco,689.02
240,"BARKING MAD CAFE",173337-7970,"French fries",19.02
241,"BARKING MAD CAFE",173337-7970,"Strawberry Cheesecake",469.02
242,"BARKING MAD CAFE",173337-7970,"Fried Pickles",419.02
243,"BARKING MAD CAFE",173337-7970,Fanta,619.02
244,"BARKING MAD CAFE",173337-7970,"Extra Yanjing",289.02
245,"BARKING MAD CAFE",173337-7970,"Cheesecake eggrolls",459.02
246,"BARKING MAD CAFE",173337-7970,"Artichoke dip",79.02
247,"BARKING MAD CAFE",173337-7970,Pepsi-Cola,569.02
248,"BARKING MAD CAFE",173337-7970,"Bud Light",269.02
249,"BARKING MAD CAFE",173337-7970,"Purple Rain",749.02
250,"BARKING MAD CAFE",173337-7970,"Farro Salad",89.02
251,"BARKING MAD CAFE",173337-7970,Guinness,399.02
252,"BARREL & CROW",938023-9690,"Iresh Breakfast",510.7
253,"BARREL & CROW",938023-9690,"Bud Ice",120.7
254,"BARREL & CROW",938023-9690,Fanta,610.7
255,"BARREL & CROW",938023-9690,"Mello Yello",620.7
256,"BARREL & CROW",938023-9690,"Chicken Buger",440.7
257,"BARREL & CROW",938023-9690,"Keystone Light",150.7
258,"BARREL & CROW",938023-9690,"Michelob Ultra",210.7
259,"BARREL & CROW",938023-9690,"Pabst Blue Ribbon",110.7
260,"BARREL & CROW",938023-9690,"Diet Dr Pepper",600.7
261,"BARREL & CROW",938023-9690,"Lamb Chops",540.7
262,"BARREL & CROW",938023-9690,"Busch Light",180.7
263,"BARREL & CROW",938023-9690,"Cheesecake eggrolls",450.7
264,"Beaufort Bar",934943-7856,Rose,660.7
265,"Beaufort Bar",934943-7856,"Diet Pepsi",590.7
266,"Beaufort Bar",934943-7856,"Farro Salad",80.7
267,"Beaufort Bar",934943-7856,"Bulleit 10YR",730.7
268,"Beaufort Bar",934943-7856,"Mil’s Best Ice",380.7
269,"Beaufort Bar",934943-7856,Quesadillas,60.7
270,"Beaufort Bar",934943-7856,"Natural Light",190.7
271,"Beaufort Bar",934943-7856,Steak,500.7
272,"Beaufort Bar",934943-7856,"Modelo Especial",200.7
273,"Beaufort Bar",934943-7856,"Corona Extra",220.7
274,"Beaufort Bar",934943-7856,Busch,170.7
275,"Beaufort Bar",934943-7856,"Fried Pickles",410.7
276,BECLAWS,269500-5799,Monster,640.7
277,BECLAWS,269500-5799,"Artichoke dip",70.7
278,BECLAWS,269500-5799,Pepsi-Cola,560.7
279,BECLAWS,269500-5799,Jameson,710.7
280,BECLAWS,269500-5799,"Coors Banquet",340.7
281,BECLAWS,269500-5799,White,670.7
282,BECLAWS,269500-5799,"Keystone Light",150.7
283,BECLAWS,269500-5799,"Michelob Ultra",210.7
284,BECLAWS,269500-5799,"Pabst Blue Ribbon",110.7
285,BECLAWS,269500-5799,"Diet Dr Pepper",600.7
286,BECLAWS,269500-5799,"Lamb Chops",540.7
287,BECLAWS,269500-5799,"Busch Light",180.7
288,Beerodrom,005882-9151,"Busch Light",184.76
289,Beerodrom,005882-9151,"Stella Artois",134.76
290,Beerodrom,005882-9151,"Lamb Chops",544.76
291,Beerodrom,005882-9151,"Farro Salad",84.76
292,Beerodrom,005882-9151,"Onion rings",24.76
293,Beerodrom,005882-9151,"Steel Reserve",354.76
294,Beerodrom,005882-9151,"Cheese Buger",434.76
295,Beerodrom,005882-9151,"Mozzarella sticks",54.76
296,Beerodrom,005882-9151,"Natural Ice",104.76
297,Beerodrom,005882-9151,"7 Up",634.76
298,Beerodrom,005882-9151,"Coors Light",254.76
299,Beerodrom,005882-9151,"Mil’s Best Ice",384.76
300,"Beertep Craft Pub",052726-7009,Busch,174.76
301,"Beertep Craft Pub",052726-7009,"Coors Banquet",344.76
302,"Beertep Craft Pub",052726-7009,Nachos,34.76
303,"Beertep Craft Pub",052726-7009,"Diet Dr Pepper",604.76
304,"Beertep Craft Pub",052726-7009,Rose,664.76
305,"Beertep Craft Pub",052726-7009,Budweiser,244.76
306,"Beertep Craft Pub",052726-7009,"Chicken Buger",444.76
307,"Beertep Craft Pub",052726-7009,"Dos Equis",334.76
308,"Beertep Craft Pub",052726-7009,Snow,274.76
309,"Beertep Craft Pub",052726-7009,"Iresh Breakfast",514.76
310,"Beertep Craft Pub",052726-7009,Fanta,614.76
311,"Beertep Craft Pub",052726-7009,White,674.76
312,"Belgian Pub BeerHouse",416665-7371,Omelet,523.56
313,"Belgian Pub BeerHouse",416665-7371,"Artichoke dip",73.56
314,"Belgian Pub BeerHouse",416665-7371,"Miller High Life",143.56
315,"Belgian Pub BeerHouse",416665-7371,Guinness,393.56
316,"Belgian Pub BeerHouse",416665-7371,"Farro Salad",83.56
317,"Belgian Pub BeerHouse",416665-7371,"Bud Ice",123.56
318,"Belgian Pub BeerHouse",416665-7371,"Cheese Buger",433.56
319,"Belgian Pub BeerHouse",416665-7371,Milestones,693.56
320,"Belgian Pub BeerHouse",416665-7371,"Mozzarella sticks",53.56
321,"Belgian Pub BeerHouse",416665-7371,Snow,273.56
322,"Belgian Pub BeerHouse",416665-7371,"Bud Light",263.56
323,"Belgian Pub BeerHouse",416665-7371,Icehouse,363.56
324,"Belowzero Ice Bar",679007-3636,"Corona Light",373.56
325,"Belowzero Ice Bar",679007-3636,"Extra Yanjing",283.56
326,"Belowzero Ice Bar",679007-3636,Bakers,723.56
327,"Belowzero Ice Bar",679007-3636,"Michelob Ultra",213.56
328,"Belowzero Ice Bar",679007-3636,PEARLRIVER,303.56
329,"Belowzero Ice Bar",679007-3636,Red,653.56
330,"Belowzero Ice Bar",679007-3636,Nachos,33.56
331,"Belowzero Ice Bar",679007-3636,Jameson,713.56
332,"Belowzero Ice Bar",679007-3636,"Yuengling Lager",313.56
333,"Belowzero Ice Bar",679007-3636,Pancakes,493.56
334,"Belowzero Ice Bar",679007-3636,"Mil’s Best Ice",383.56
335,"Belowzero Ice Bar",679007-3636,Wings,43.56
336,"BENIHANA OF TOKYO",746233-3159,"Bulleit 10YR",733.56
337,"BENIHANA OF TOKYO",746233-3159,"Onion rings",23.56
338,"BENIHANA OF TOKYO",746233-3159,"Miller Lite",233.56
339,"BENIHANA OF TOKYO",746233-3159,"Lamb Chops",543.56
340,"BENIHANA OF TOKYO",746233-3159,"Fried Pickles",413.56
341,"BENIHANA OF TOKYO",746233-3159,"Blue Moon",323.56
342,"BENIHANA OF TOKYO",746233-3159,"Dos Equis",333.56
343,"BENIHANA OF TOKYO",746233-3159,"Pastrami Hash",533.56
344,"BENIHANA OF TOKYO",746233-3159,Prosscco,683.56
345,"BENIHANA OF TOKYO",746233-3159,"Iresh Breakfast",513.56
346,"BENIHANA OF TOKYO",746233-3159,"Strawberry Cheesecake",463.56
347,"BENIHANA OF TOKYO",746233-3159,"Purple Rain",743.56
348,"BETHESDA CRAB HOUSE",789601-4995,Snow,270.16
349,"BETHESDA CRAB HOUSE",789601-4995,Fanta,610.16
350,"BETHESDA CRAB HOUSE",789601-4995,"Corpse Reviver 212",700.16
351,"BETHESDA CRAB HOUSE",789601-4995,Budweiser,240.16
352,"BETHESDA CRAB HOUSE",789601-4995,"Keystone Light",150.16
353,"BETHESDA CRAB HOUSE",789601-4995,Sprite,580.16
354,"BETHESDA CRAB HOUSE",789601-4995,"Steel Reserve",350.16
355,"BETHESDA CRAB HOUSE",789601-4995,"Mountain Dew",570.16
356,"BETHESDA CRAB HOUSE",789601-4995,Tsingtao,290.16
357,"BETHESDA CRAB HOUSE",789601-4995,"Corona Light",370.16
358,"BETHESDA CRAB HOUSE",789601-4995,"Diet Dr Pepper",600.16
359,"BETHESDA CRAB HOUSE",789601-4995,Prosscco,680.16
360,Bisou,152664-4651,"Cheesecake eggrolls",450.16
361,Bisou,152664-4651,"Dos Equis",330.16
362,Bisou,152664-4651,"Corona Extra",220.16
363,Bisou,152664-4651,"Mello Yello",620.16
364,Bisou,152664-4651,"Onion rings",20.16
365,Bisou,152664-4651,Omelet,520.16
366,Bisou,152664-4651,"French Toast",480.16
367,Bisou,152664-4651,Jameson,710.16
368,Bisou,152664-4651,"Mil’s Best Ice",380.16
369,Bisou,152664-4651,"Miller High Life",140.16
370,Bisou,152664-4651,Red,650.16
371,Bisou,152664-4651,PEARLRIVER,300.16
372,"Blind Spot",065747-2833,"Bud Light",260.16
373,"Blind Spot",065747-2833,Guinness,390.16
374,"Blind Spot",065747-2833,Wings,40.16
375,"Blind Spot",065747-2833,"Artichoke dip",70.16
376,"Blind Spot",065747-2833,"Michelob Ultra",210.16
377,"Blind Spot",065747-2833,"Cheese Buger",430.16
378,"Blind Spot",065747-2833,Milestones,690.16
379,"Blind Spot",065747-2833,"Bud Ice",120.16
380,"Blind Spot",065747-2833,Icehouse,360.16
381,"Blind Spot",065747-2833,"Lamb Chops",540.16
382,"Blind Spot",065747-2833,"Stella Artois",130.16
383,"Blind Spot",065747-2833,Pepsi-Cola,560.16
384,"Blue Angel",802054-2166,Nachos,36.29
385,"Blue Angel",802054-2166,"Diet Dr Pepper",606.29
386,"Blue Angel",802054-2166,"Busch Light",186.29
387,"Blue Angel",802054-2166,"Fish & Chip",426.29
388,"Blue Angel",802054-2166,PEARLRIVER,306.29
389,"Blue Angel",802054-2166,"Mountain Dew",576.29
390,"Blue Angel",802054-2166,"Blue Moon",326.29
391,"Blue Angel",802054-2166,"Chicken Buger",446.29
392,"Blue Angel",802054-2166,White,676.29
393,"Blue Angel",802054-2166,"Fried Pickles",416.29
394,"Blue Angel",802054-2166,"Natural Ice",106.29
395,"Blue Tattoo",768883-3750,Jameson,716.29
396,"Blue Tattoo",768883-3750,"Coors Banquet",346.29
397,"Blue Tattoo",768883-3750,Wings,46.29
398,"Blue Tattoo",768883-3750,"Diet Pepsi",596.29
399,"Blue Tattoo",768883-3750,Pancakes,496.29
400,"Blue Tattoo",768883-3750,Fanta,616.29
401,"Blue Tattoo",768883-3750,"Keystone Light",156.29
402,"Blue Tattoo",768883-3750,"French fries",16.29
403,"Blue Tattoo",768883-3750,"Corpse Reviver 212",706.29
404,"Blue Tattoo",768883-3750,Tsingtao,296.29
405,"Blue Tattoo",768883-3750,"Bud Ice",126.29
406,"Blue Tattoo",768883-3750,"Cheesecake eggrolls",456.29
407,"BOCA BOTANA'S",633641-0946,"Natural Light",196.29
408,"BOCA BOTANA'S",633641-0946,"Miller High Life",146.29
409,"BOCA BOTANA'S",633641-0946,"Michelob Ultra",216.29
410,"BOCA BOTANA'S",633641-0946,Busch,176.29
411,"BOCA BOTANA'S",633641-0946,Bakers,726.29
412,"BOCA BOTANA'S",633641-0946,Monster,646.29
413,"BOCA BOTANA'S",633641-0946,Prosscco,686.29
414,"BOCA BOTANA'S",633641-0946,"Extra Yanjing",286.29
415,"BOCA BOTANA'S",633641-0946,Guinness,396.29
416,"BOCA BOTANA'S",633641-0946,"Corona Light",376.29
417,"BOCA BOTANA'S",633641-0946,"Cheese Buger",436.29
418,"BOCA BOTANA'S",633641-0946,"Steel Reserve",356.29
419,"Brass Monkey",704506-9023,"Chicken Pot Pie",470.49
420,"Brass Monkey",704506-9023,Heineken,160.49
421,"Brass Monkey",704506-9023,Sprite,580.49
422,"Brass Monkey",704506-9023,"Bud Ice",120.49
423,"Brass Monkey",704506-9023,"Natural Ice",100.49
424,"Brass Monkey",704506-9023,"Bulleit 10YR",730.49
425,"Brass Monkey",704506-9023,"Pabst Blue Ribbon",110.49
426,"Brass Monkey",704506-9023,"Modelo Especial",200.49
427,"Brass Monkey",704506-9023,"Corona Light",370.49
428,"Brass Monkey",704506-9023,Red,650.49
429,"Brass Monkey",704506-9023,"Yuengling Lager",310.49
430,"Brass Monkey",704506-9023,"Mountain Dew",570.49
431,"Britannia Arms",033266-5462,"Coca Cola",550.49
432,"Britannia Arms",033266-5462,"Natural Light",190.49
433,"Britannia Arms",033266-5462,Guinness,390.49
434,"Britannia Arms",033266-5462,Quesadillas,60.49
435,"Britannia Arms",033266-5462,Monster,640.49
436,"Britannia Arms",033266-5462,Tsingtao,290.49
437,"Britannia Arms",033266-5462,Jameson,710.49
438,"Britannia Arms",033266-5462,Snow,270.49
439,"Britannia Arms",033266-5462,"Busch Light",180.49
440,"Britannia Arms",033266-5462,Pancakes,490.49
441,"Britannia Arms",033266-5462,"Cheesecake eggrolls",450.49
442,"Britannia Arms",033266-5462,"Lamb Chops",540.49
443,"Britannia Arms",033266-5462,Pepsi-Cola,560.49
444,"BROOKVILLE EATERY",405616-0742,"Fish & Chip",420.49
445,"BROOKVILLE EATERY",405616-0742,"Artichoke dip",70.49
446,"BROOKVILLE EATERY",405616-0742,"Miller High Life",140.49
447,"BROOKVILLE EATERY",405616-0742,"Michelob Ultra",210.49
