TransactionID,License,BillID,ItemID
97,417478-9703,27,2246
98,417478-9703,28,2246
99,417478-9703,28,2245
100,417478-9703,29,2247
101,417478-9703,29,2242
102,417478-9703,29,2246
103,417478-9703,29,2245
104,417478-9703,30,2243
105,417478-9703,30,2248
106,417478-9703,30,2248
107,417478-9703,30,2245
108,417478-9703,30,2244
109,417478-9703,31,2239
110,417478-9703,31,2244
111,417478-9703,31,2246
112,417478-9703,31,2246
113,417478-9703,31,2241
114,417478-9703,32,2241
115,417478-9703,32,2246
116,417478-9703,32,2244
117,417478-9703,32,2247
118,417478-9703,33,2248
119,417478-9703,33,2244
120,417478-9703,33,2245
121,417478-9703,34,2238
122,417478-9703,34,2239
123,417478-9703,34,2242
124,417478-9703,34,2249
125,417478-9703,35,2239
126,417478-9703,35,2249
127,417478-9703,35,2241
128,417478-9703,36,2241
129,417478-9703,36,2242
130,417478-9703,36,2245
131,417478-9703,36,2249
132,417478-9703,37,2238
133,417478-9703,37,2243
134,417478-9703,38,2239
135,417478-9703,38,2247
136,417478-9703,39,2241
137,417478-9703,39,2239
138,417478-9703,39,2241
139,417478-9703,39,2244
140,417478-9703,40,2246
141,417478-9703,40,2245
142,417478-9703,40,2246
143,417478-9703,40,2238
144,417478-9703,40,2239
145,417478-9703,41,2239
146,417478-9703,41,2243
147,417478-9703,42,2246
148,417478-9703,42,2247
149,417478-9703,42,2239
150,417478-9703,42,2244
151,417478-9703,43,2239
152,417478-9703,43,2249
153,417478-9703,44,2248
154,417478-9703,44,2242
155,417478-9703,44,2241
156,417478-9703,44,2244
157,417478-9703,44,2242
158,417478-9703,45,2238
159,417478-9703,45,2247
160,417478-9703,46,2248
161,417478-9703,46,2238
162,417478-9703,47,2248
163,417478-9703,47,2243
164,417478-9703,47,2249
165,417478-9703,47,2246
166,417478-9703,48,2245
167,417478-9703,48,2240
168,417478-9703,49,2244
169,417478-9703,49,2243
170,417478-9703,50,2247
171,417478-9703,50,2247
172,417478-9703,50,2239
173,417478-9703,51,2249
174,417478-9703,51,2248
175,417478-9703,52,2243
176,417478-9703,52,2243
177,417478-9703,52,2242
178,417478-9703,52,2242
179,417478-9703,52,2243
180,417478-9703,53,2238
181,417478-9703,53,2244
182,417478-9703,53,2239
183,417478-9703,54,2244
184,417478-9703,54,2242
185,417478-9703,55,2248
186,417478-9703,55,2241
187,417478-9703,55,2238
188,417478-9703,56,2243
189,417478-9703,56,2245
190,417478-9703,56,2247
191,417478-9703,57,2249
192,417478-9703,57,2249
193,417478-9703,57,2239
194,417478-9703,57,2242
195,417478-9703,57,2245
196,417478-9703,58,2245
197,417478-9703,58,2242
198,417478-9703,58,2246
199,417478-9703,59,2248
200,417478-9703,59,2238
201,417478-9703,59,2246
202,417478-9703,59,2247
203,417478-9703,59,2238
204,417478-9703,60,2245
205,417478-9703,60,2249
206,417478-9703,60,2244
207,417478-9703,61,2243
208,417478-9703,61,2238
209,417478-9703,61,2239
210,417478-9703,61,2246
211,417478-9703,61,2240
212,417478-9703,62,2243
213,417478-9703,62,2248
214,417478-9703,62,2239
215,417478-9703,62,2239
216,417478-9703,62,2244
217,417478-9703,63,2241
218,417478-9703,63,2241
219,417478-9703,63,2242
220,417478-9703,63,2240
221,417478-9703,63,2242
222,417478-9703,64,2240
223,417478-9703,64,2240
224,417478-9703,65,2241
225,417478-9703,65,2249
226,417478-9703,65,2244
227,417478-9703,66,2240
228,417478-9703,66,2246
229,417478-9703,66,2239
230,417478-9703,66,2245
231,417478-9703,67,2245
232,417478-9703,67,2238
233,417478-9703,67,2243
234,417478-9703,68,2248
235,417478-9703,68,2242
236,417478-9703,68,2238
237,417478-9703,68,2247
238,417478-9703,69,2241
239,417478-9703,69,2239
240,417478-9703,69,2242
241,417478-9703,70,2249
242,417478-9703,70,2241
243,417478-9703,70,2245
244,417478-9703,70,2246
245,417478-9703,70,2240
246,417478-9703,71,2242
247,417478-9703,71,2240
248,417478-9703,71,2243
249,417478-9703,71,2242
250,417478-9703,71,2249
251,417478-9703,72,2249
252,417478-9703,72,2248
253,417478-9703,72,2242
254,417478-9703,72,2238
255,417478-9703,72,2242
256,417478-9703,73,2244
257,417478-9703,73,2248
258,417478-9703,73,2246
259,417478-9703,74,2244
260,417478-9703,74,2249
261,417478-9703,74,2242
262,417478-9703,75,2239
263,417478-9703,75,2244
264,417478-9703,75,2238
265,417478-9703,75,2239
266,417478-9703,76,2244
267,417478-9703,76,2239
268,417478-9703,76,2242
269,417478-9703,76,2243
270,417478-9703,76,2249
271,417478-9703,77,2249
272,417478-9703,77,2244
273,417478-9703,77,2244
274,417478-9703,77,2238
275,417478-9703,78,2243
276,417478-9703,78,2248
277,417478-9703,79,2240
278,417478-9703,79,2246
279,417478-9703,79,2244
280,417478-9703,79,2242
281,417478-9703,80,2238
282,417478-9703,80,2248
283,417478-9703,80,2247
284,417478-9703,80,2239
285,417478-9703,80,2244
286,417478-9703,81,2239
287,417478-9703,81,2241
288,417478-9703,82,2249
289,417478-9703,82,2243
290,417478-9703,83,2242
291,417478-9703,83,2244
292,417478-9703,84,2245
293,417478-9703,84,2244
294,417478-9703,84,2248
295,417478-9703,84,2247
296,417478-9703,84,2249
297,417478-9703,85,2248
298,417478-9703,85,2242
299,417478-9703,85,2247
300,417478-9703,85,2245
301,417478-9703,85,2241
302,417478-9703,86,2238
303,417478-9703,86,2243
304,417478-9703,86,2241
305,417478-9703,87,2248
306,417478-9703,87,2249
307,417478-9703,87,2243
308,417478-9703,87,2238
309,417478-9703,88,2238
310,417478-9703,88,2239
311,417478-9703,89,2249
312,417478-9703,89,2244
313,417478-9703,89,2242
314,417478-9703,89,2242
315,417478-9703,89,2240
316,417478-9703,90,2245
317,417478-9703,90,2245
318,417478-9703,90,2240
319,417478-9703,90,2243
320,417478-9703,90,2242
321,417478-9703,91,2245
322,417478-9703,91,2246
323,417478-9703,92,2241
324,417478-9703,92,2240
325,417478-9703,92,2248
326,417478-9703,92,2249
327,417478-9703,93,2244
328,417478-9703,93,2241
329,417478-9703,93,2240
330,417478-9703,94,2238
331,417478-9703,94,2248
332,417478-9703,94,2240
333,417478-9703,94,2242
334,417478-9703,94,2249
335,122581-2526,95,105
336,122581-2526,95,102
337,122581-2526,95,101
338,122581-2526,96,98
339,122581-2526,96,100
340,122581-2526,96,107
341,122581-2526,97,105
342,122581-2526,97,103
343,122581-2526,98,99
344,122581-2526,98,102
345,122581-2526,98,100
346,122581-2526,98,97
347,122581-2526,98,106
348,122581-2526,99,100
349,122581-2526,99,100
350,122581-2526,100,100
351,122581-2526,100,105
352,122581-2526,101,100
353,122581-2526,101,105
354,122581-2526,101,102
355,122581-2526,102,104
356,122581-2526,102,101
357,122581-2526,102,105
358,122581-2526,102,104
359,122581-2526,102,97
360,122581-2526,103,104
361,122581-2526,103,104
362,122581-2526,104,101
363,122581-2526,104,98
364,122581-2526,104,98
365,122581-2526,105,100
366,122581-2526,105,105
367,122581-2526,106,98
368,122581-2526,106,101
369,122581-2526,107,106
370,122581-2526,107,98
371,122581-2526,107,99
372,122581-2526,108,102
373,122581-2526,108,100
374,122581-2526,108,107
375,122581-2526,109,98
376,122581-2526,109,97
377,122581-2526,109,103
378,122581-2526,109,97
379,122581-2526,110,107
380,122581-2526,110,105
381,122581-2526,110,102
382,122581-2526,110,97
383,122581-2526,110,102
384,122581-2526,111,104
385,122581-2526,111,100
386,122581-2526,111,105
387,122581-2526,111,107
388,122581-2526,111,97
389,122581-2526,112,100
390,122581-2526,112,106
391,122581-2526,112,101
392,122581-2526,112,100
393,122581-2526,112,105
394,122581-2526,113,104
395,122581-2526,113,102
396,122581-2526,113,100
397,122581-2526,114,98
398,122581-2526,114,98
399,122581-2526,115,101
400,122581-2526,115,97
401,122581-2526,115,99
402,122581-2526,116,103
403,122581-2526,116,98
404,122581-2526,117,103
405,122581-2526,117,107
406,122581-2526,117,98
407,122581-2526,117,106
408,122581-2526,117,107
409,122581-2526,118,107
410,122581-2526,118,97
411,122581-2526,119,98
412,122581-2526,119,97
413,122581-2526,119,98
414,122581-2526,119,99
415,122581-2526,120,107
416,122581-2526,120,103
417,122581-2526,120,99
418,122581-2526,121,99
419,122581-2526,121,106
420,122581-2526,122,102
421,122581-2526,122,98
422,122581-2526,122,99
423,122581-2526,123,102
424,122581-2526,123,104
425,122581-2526,123,99
426,122581-2526,123,106
427,122581-2526,124,101
428,122581-2526,124,99
429,122581-2526,124,107
430,122581-2526,124,103
431,122581-2526,124,100
432,122581-2526,125,106
433,122581-2526,125,105
434,122581-2526,125,107
435,122581-2526,125,98
436,122581-2526,125,101
437,122581-2526,126,107
438,122581-2526,126,104
439,122581-2526,126,98
440,122581-2526,126,101
441,122581-2526,127,100
442,122581-2526,127,100
443,122581-2526,127,106
444,122581-2526,127,102
445,122581-2526,128,104
446,122581-2526,128,104
447,122581-2526,128,101
448,122581-2526,128,107
449,122581-2526,128,107
450,122581-2526,129,100
451,122581-2526,129,105
452,122581-2526,130,102
453,122581-2526,130,105
454,122581-2526,130,103
455,122581-2526,131,97
456,122581-2526,131,107
457,122581-2526,131,103
458,122581-2526,132,100
459,122581-2526,132,105
460,122581-2526,133,107
461,122581-2526,133,107
462,122581-2526,134,102
463,122581-2526,134,106
464,122581-2526,134,104
465,122581-2526,134,104
466,122581-2526,135,98
467,122581-2526,135,102
468,122581-2526,136,102
469,122581-2526,136,100
470,122581-2526,136,107
471,122581-2526,136,100
472,122581-2526,136,106
473,122581-2526,137,103
474,122581-2526,137,101
475,122581-2526,138,99
476,122581-2526,138,103
477,122581-2526,138,103
478,122581-2526,139,100
479,122581-2526,139,101
480,122581-2526,140,104
481,122581-2526,140,105
482,122581-2526,140,100
483,122581-2526,141,102
484,122581-2526,141,100
485,122581-2526,141,98
486,122581-2526,142,103
487,122581-2526,142,100
488,122581-2526,142,104
489,122581-2526,142,104
490,122581-2526,142,103
491,122581-2526,143,106
492,122581-2526,143,102
493,122581-2526,144,98
494,122581-2526,144,107
495,122581-2526,145,98
496,122581-2526,145,103
497,122581-2526,146,105
498,122581-2526,146,98
499,122581-2526,146,100
500,122581-2526,147,101
501,122581-2526,147,107
502,122581-2526,147,105
503,122581-2526,148,105
504,122581-2526,148,100
505,122581-2526,148,99
506,122581-2526,148,103
507,122581-2526,148,101
508,122581-2526,149,101
509,122581-2526,149,100
510,122581-2526,149,98
511,122581-2526,149,98
512,122581-2526,149,105
513,122581-2526,150,101
514,122581-2526,150,97
515,122581-2526,151,100
516,122581-2526,151,105
517,122581-2526,151,103
518,122581-2526,151,100
519,122581-2526,151,106
520,122581-2526,152,99
521,122581-2526,152,107
522,122581-2526,152,104
523,122581-2526,152,104
524,122581-2526,152,107
525,122581-2526,153,97
526,122581-2526,153,104
527,122581-2526,153,103
528,122581-2526,153,97
529,122581-2526,153,100
530,122581-2526,154,103
531,122581-2526,154,104
532,122581-2526,154,106
533,122581-2526,155,103
534,122581-2526,155,103
535,122581-2526,155,104
536,122581-2526,156,97
537,122581-2526,156,106
538,122581-2526,156,100
539,122581-2526,156,99
540,122581-2526,157,100
541,122581-2526,157,103
542,122581-2526,157,107
543,122581-2526,157,98
544,122581-2526,157,100
545,122581-2526,158,103
546,122581-2526,158,105
547,122581-2526,158,97
548,122581-2526,158,105
549,122581-2526,159,106
550,122581-2526,159,107
551,122581-2526,160,102
552,122581-2526,160,100
553,122581-2526,161,101
554,122581-2526,161,103
555,122581-2526,162,97
556,122581-2526,162,97
557,122581-2526,162,98
558,122581-2526,162,100
559,122581-2526,162,98
560,122581-2526,163,106
561,122581-2526,163,104
562,122581-2526,164,104
563,122581-2526,164,104
564,122581-2526,164,107
565,122581-2526,164,99
566,122581-2526,164,100
567,122581-2526,165,106
568,122581-2526,165,102
569,122581-2526,165,104
570,122581-2526,166,99
571,122581-2526,166,98
572,122581-2526,166,98
573,122581-2526,167,106
574,122581-2526,167,97
575,122581-2526,167,107
576,122581-2526,167,98
577,122581-2526,167,103
578,122581-2526,168,101
579,122581-2526,168,104
580,122581-2526,168,106
581,122581-2526,168,105
582,122581-2526,168,99
583,122581-2526,169,97
584,122581-2526,169,100
585,122581-2526,169,104
586,122581-2526,169,97
587,122581-2526,170,101
588,122581-2526,170,105
589,122581-2526,170,101
590,122581-2526,170,104
591,122581-2526,170,103
592,122581-2526,171,104
593,122581-2526,171,101
594,122581-2526,171,100
595,122581-2526,171,99
596,122581-2526,172,97
597,122581-2526,172,98
598,122581-2526,172,105
599,122581-2526,172,98
600,122581-2526,173,100
601,122581-2526,173,99
602,122581-2526,173,107
603,122581-2526,173,104
604,122581-2526,174,102
605,122581-2526,174,98
606,122581-2526,174,102
607,122581-2526,174,102
608,122581-2526,175,103
609,122581-2526,175,106
610,122581-2526,175,103
611,122581-2526,175,106
612,122581-2526,176,100
613,122581-2526,176,102
614,122581-2526,177,107
615,122581-2526,177,106
616,122581-2526,177,99
617,122581-2526,177,98
618,698268-4422,178,1085
619,698268-4422,178,1085
620,698268-4422,178,1085
621,698268-4422,179,1092
622,698268-4422,179,1082
623,698268-4422,179,1085
624,698268-4422,179,1091
625,698268-4422,179,1086
626,698268-4422,180,1084
627,698268-4422,180,1093
628,698268-4422,180,1085
629,698268-4422,180,1093
630,698268-4422,180,1091
631,698268-4422,181,1088
632,698268-4422,181,1084
633,698268-4422,182,1084
634,698268-4422,182,1093
635,698268-4422,183,1086
636,698268-4422,183,1083
637,698268-4422,183,1091
638,698268-4422,184,1087
639,698268-4422,184,1086
640,698268-4422,184,1092
641,698268-4422,184,1088
642,698268-4422,184,1086
643,698268-4422,185,1085
644,698268-4422,185,1090
645,698268-4422,186,1091
646,698268-4422,186,1090
647,698268-4422,186,1084
648,698268-4422,186,1084
649,698268-4422,186,1091
650,698268-4422,187,1094
651,698268-4422,187,1082
652,698268-4422,187,1083
653,698268-4422,188,1087
654,698268-4422,188,1092
655,698268-4422,189,1083
656,698268-4422,189,1091
657,698268-4422,189,1092
658,698268-4422,189,1083
659,698268-4422,190,1094
660,698268-4422,190,1087
661,698268-4422,190,1082
662,698268-4422,190,1085
663,698268-4422,190,1094
664,698268-4422,191,1092
665,698268-4422,191,1083
666,698268-4422,191,1083
667,698268-4422,191,1083
668,698268-4422,191,1091
669,698268-4422,192,1088
670,698268-4422,192,1089
671,698268-4422,192,1089
672,698268-4422,192,1082
673,698268-4422,192,1084
674,698268-4422,193,1086
675,698268-4422,193,1089
676,698268-4422,194,1088
677,698268-4422,194,1082
678,698268-4422,195,1086
679,698268-4422,195,1092
680,698268-4422,195,1085
681,698268-4422,195,1084
682,698268-4422,195,1090
683,698268-4422,196,1093
684,698268-4422,196,1088
685,698268-4422,196,1083
686,698268-4422,196,1082
687,698268-4422,196,1083
688,698268-4422,197,1083
689,698268-4422,197,1093
690,698268-4422,197,1091
691,698268-4422,197,1084
692,698268-4422,197,1085
693,698268-4422,198,1093
694,698268-4422,198,1086
695,698268-4422,198,1088
696,698268-4422,199,1093
697,698268-4422,199,1094
698,698268-4422,199,1092
699,698268-4422,199,1092
700,698268-4422,200,1094
701,698268-4422,200,1087
702,698268-4422,200,1094
703,698268-4422,200,1083
704,698268-4422,200,1093
705,698268-4422,201,1094
706,698268-4422,201,1094
707,698268-4422,201,1092
708,698268-4422,201,1088
709,698268-4422,201,1087
710,698268-4422,202,1093
711,698268-4422,202,1091
712,698268-4422,203,1089
713,698268-4422,203,1082
714,698268-4422,203,1093
715,698268-4422,203,1089
716,698268-4422,203,1083
717,698268-4422,204,1091
718,698268-4422,204,1089
719,698268-4422,204,1090
720,698268-4422,204,1092
721,698268-4422,205,1094
722,698268-4422,205,1094
723,698268-4422,205,1093
724,698268-4422,205,1086
725,698268-4422,206,1094
726,698268-4422,206,1094
727,698268-4422,206,1085
728,698268-4422,206,1088
729,698268-4422,206,1087
730,698268-4422,207,1092
731,698268-4422,207,1091
732,698268-4422,207,1090
733,698268-4422,208,1093
734,698268-4422,208,1087
735,698268-4422,208,1091
736,698268-4422,209,1090
737,698268-4422,209,1089
738,698268-4422,210,1086
739,698268-4422,210,1089
740,698268-4422,210,1092
741,698268-4422,210,1091
742,698268-4422,211,1088
743,698268-4422,211,1093
744,698268-4422,211,1085
745,698268-4422,212,1086
746,698268-4422,212,1088
747,698268-4422,212,1094
748,698268-4422,213,1088
749,698268-4422,213,1091
750,698268-4422,213,1093
751,698268-4422,213,1087
752,698268-4422,214,1093
753,698268-4422,214,1093
754,698268-4422,214,1093
755,698268-4422,214,1094
756,698268-4422,215,1091
757,698268-4422,215,1093
758,698268-4422,215,1092
759,698268-4422,215,1085
760,698268-4422,216,1093
761,698268-4422,216,1085
762,698268-4422,217,1088
763,698268-4422,217,1090
764,698268-4422,218,1091
765,698268-4422,218,1090
766,698268-4422,218,1083
767,698268-4422,218,1092
768,698268-4422,218,1084
769,698268-4422,219,1084
770,698268-4422,219,1092
771,698268-4422,219,1083
772,698268-4422,219,1093
773,698268-4422,220,1092
774,698268-4422,220,1085
775,698268-4422,220,1086
776,698268-4422,221,1085
777,698268-4422,221,1091
778,698268-4422,221,1082
779,698268-4422,221,1088
780,698268-4422,222,1087
781,698268-4422,222,1092
782,698268-4422,222,1093
783,698268-4422,222,1093
784,698268-4422,223,1087
785,698268-4422,223,1083
786,698268-4422,224,1085
787,698268-4422,224,1093
788,698268-4422,224,1082
789,698268-4422,224,1084
790,698268-4422,225,1091
791,698268-4422,225,1093
792,698268-4422,225,1092
793,698268-4422,225,1084
794,698268-4422,225,1082
795,698268-4422,226,1087
796,698268-4422,226,1085
797,698268-4422,227,1094
798,698268-4422,227,1091
799,698268-4422,227,1087
800,698268-4422,227,1085
801,698268-4422,228,1084
802,698268-4422,228,1085
803,698268-4422,228,1083
804,698268-4422,229,1086
805,698268-4422,229,1086
806,698268-4422,229,1085
807,698268-4422,230,1090
808,698268-4422,230,1089
809,698268-4422,231,1088
810,698268-4422,231,1089
811,698268-4422,231,1088
812,698268-4422,231,1089
813,698268-4422,231,1092
814,698268-4422,232,1091
815,698268-4422,232,1093
816,698268-4422,233,1086
817,698268-4422,233,1089
818,698268-4422,234,1087
819,698268-4422,234,1094
820,698268-4422,234,1082
821,698268-4422,234,1091
822,698268-4422,235,1088
823,698268-4422,235,1094
824,698268-4422,235,1083
825,698268-4422,235,1086
826,698268-4422,236,1082
827,698268-4422,236,1087
828,698268-4422,237,1084
829,698268-4422,237,1082
830,698268-4422,238,1090
831,698268-4422,238,1089
832,698268-4422,238,1093
833,698268-4422,239,1088
834,698268-4422,239,1084
835,698268-4422,239,1091
836,698268-4422,239,1086
837,698268-4422,240,1082
838,698268-4422,240,1090
839,698268-4422,241,1086
840,698268-4422,241,1091
841,698268-4422,241,1092
842,698268-4422,241,1091
843,698268-4422,242,1091
844,698268-4422,242,1085
845,698268-4422,242,1090
846,698268-4422,243,1084
847,698268-4422,243,1091
848,698268-4422,243,1085
849,698268-4422,243,1084
850,698268-4422,244,1088
851,698268-4422,244,1085
852,698268-4422,244,1082
853,698268-4422,244,1082
854,698268-4422,244,1087
855,698268-4422,245,1086
856,698268-4422,245,1083
857,698268-4422,246,1085
858,698268-4422,246,1090
859,698268-4422,247,1093
860,698268-4422,247,1089
861,698268-4422,247,1086
862,698268-4422,247,1082
863,698268-4422,248,1082
864,698268-4422,248,1092
865,698268-4422,248,1087
866,698268-4422,249,1094
867,698268-4422,249,1084
868,698268-4422,249,1090
869,698268-4422,250,1084
870,698268-4422,250,1083
871,698268-4422,250,1083
872,698268-4422,251,1087
873,698268-4422,251,1091
874,698268-4422,251,1088
875,698268-4422,252,1083
876,698268-4422,252,1083
877,698268-4422,253,1094
878,698268-4422,253,1092
879,698268-4422,253,1093
880,698268-4422,253,1082
881,698268-4422,253,1086
882,698268-4422,254,1092
883,698268-4422,254,1089
884,698268-4422,255,1088
885,698268-4422,255,1093
886,698268-4422,255,1090
887,698268-4422,256,1085
888,698268-4422,256,1093
889,698268-4422,256,1094
890,698268-4422,256,1082
891,698268-4422,256,1094
892,698268-4422,257,1089
893,698268-4422,257,1094
894,698268-4422,258,1088
895,698268-4422,258,1089
896,698268-4422,259,1089
897,698268-4422,259,1082
898,698268-4422,259,1093
899,698268-4422,259,1083
900,698268-4422,259,1090
901,698268-4422,260,1089
902,698268-4422,260,1092
903,698268-4422,260,1087
904,698268-4422,260,1083
905,698268-4422,261,1082
906,698268-4422,261,1093
907,698268-4422,261,1092
908,698268-4422,261,1087
909,698268-4422,262,1082
910,698268-4422,262,1082
911,698268-4422,262,1083
912,698268-4422,262,1093
913,698268-4422,262,1084
914,698268-4422,263,1088
915,698268-4422,263,1094
916,698268-4422,263,1092
917,698268-4422,263,1083
918,698268-4422,264,1088
919,698268-4422,264,1093
920,698268-4422,264,1088
921,698268-4422,265,1087
922,698268-4422,265,1091
923,698268-4422,265,1083
924,698268-4422,266,1093
925,698268-4422,266,1087
926,698268-4422,266,1083
927,698268-4422,266,1087
928,698268-4422,266,1087
929,698268-4422,267,1087
930,698268-4422,267,1085
931,698268-4422,267,1092
932,698268-4422,268,1087
933,698268-4422,268,1092
934,698268-4422,268,1089
935,698268-4422,268,1093
936,698268-4422,269,1093
937,698268-4422,269,1085
938,698268-4422,270,1093
939,698268-4422,270,1094
940,698268-4422,271,1092
941,698268-4422,271,1091
942,698268-4422,271,1092
943,698268-4422,272,1082
944,698268-4422,272,1090
945,698268-4422,272,1087
946,698268-4422,272,1084
947,698268-4422,272,1091
948,698268-4422,273,1091
949,698268-4422,273,1089
950,698268-4422,273,1090
951,698268-4422,274,1082
952,698268-4422,274,1088
953,698268-4422,274,1087
954,698268-4422,274,1087
955,802054-2166,275,388
956,802054-2166,275,393
957,802054-2166,275,390
958,802054-2166,275,392
959,802054-2166,276,391
960,802054-2166,276,394
961,802054-2166,276,391
962,802054-2166,276,394
963,802054-2166,276,385
964,802054-2166,277,390
965,802054-2166,277,392
966,802054-2166,277,390
967,802054-2166,278,388
968,802054-2166,278,394
969,802054-2166,278,390
970,802054-2166,278,390
971,802054-2166,279,389
972,802054-2166,279,394
973,802054-2166,279,388
974,802054-2166,279,392
975,802054-2166,280,392
976,802054-2166,280,392
977,802054-2166,280,387
978,802054-2166,280,385
979,802054-2166,280,385
980,802054-2166,281,394
981,802054-2166,281,392
982,802054-2166,282,393
983,802054-2166,282,394
984,802054-2166,282,384
985,802054-2166,282,392
986,802054-2166,282,390
987,802054-2166,283,391
988,802054-2166,283,393
989,802054-2166,284,386
990,802054-2166,284,389
991,802054-2166,285,389
992,802054-2166,285,393
993,802054-2166,285,384
994,802054-2166,285,393
995,802054-2166,285,391
996,802054-2166,286,386
997,802054-2166,286,393
998,802054-2166,286,386
999,802054-2166,287,393
1000,802054-2166,287,394
1001,802054-2166,288,386
1002,802054-2166,288,388
1003,802054-2166,288,386
1004,802054-2166,288,385
1005,802054-2166,289,387
1006,802054-2166,289,391
1007,802054-2166,289,387
1008,802054-2166,289,386
1009,802054-2166,289,391
1010,802054-2166,290,393
1011,802054-2166,290,394
1012,802054-2166,290,391
1013,802054-2166,290,392
1014,802054-2166,291,385
1015,802054-2166,291,391
1016,802054-2166,292,393
1017,802054-2166,292,393
1018,802054-2166,293,386
1019,802054-2166,293,389
1020,802054-2166,293,387
1021,802054-2166,294,390
1022,802054-2166,294,384
1023,802054-2166,295,392
1024,802054-2166,295,385
1025,802054-2166,295,391
1026,802054-2166,296,390
1027,802054-2166,296,384
1028,802054-2166,296,392
1029,802054-2166,296,387
1030,802054-2166,297,393
1031,802054-2166,297,391
1032,802054-2166,298,385
1033,802054-2166,298,387
1034,802054-2166,299,385
1035,802054-2166,299,393
1036,802054-2166,300,392
1037,802054-2166,300,393
1038,802054-2166,300,384
1039,802054-2166,301,388
1040,802054-2166,301,394
1041,802054-2166,302,385
1042,802054-2166,302,387
1043,802054-2166,302,391
1044,802054-2166,302,386
1045,802054-2166,302,389
1046,802054-2166,303,385
1047,802054-2166,303,390
1048,802054-2166,303,387
1049,802054-2166,304,394
1050,802054-2166,304,393
1051,802054-2166,305,388
1052,802054-2166,305,386
1053,802054-2166,305,391
1054,802054-2166,306,389
1055,802054-2166,306,390
1056,802054-2166,306,384
1057,802054-2166,306,389
1058,802054-2166,306,388
1059,802054-2166,307,388
1060,802054-2166,307,390
1061,802054-2166,307,389
1062,802054-2166,307,390
1063,802054-2166,308,390
1064,802054-2166,308,394
1065,802054-2166,308,392
1066,802054-2166,308,384
1067,802054-2166,309,386
1068,802054-2166,309,384
1069,802054-2166,310,387
1070,802054-2166,310,390
1071,802054-2166,310,390
1072,802054-2166,311,389
1073,802054-2166,311,394
1074,802054-2166,311,390
1075,802054-2166,311,386
1076,802054-2166,312,391
1077,802054-2166,312,390
1078,802054-2166,312,384
1079,802054-2166,312,388
1080,802054-2166,313,384
1081,802054-2166,313,387
1082,802054-2166,313,384
1083,802054-2166,313,394
1084,802054-2166,313,390
1085,802054-2166,314,386
1086,802054-2166,314,392
1087,802054-2166,315,389
1088,802054-2166,315,388
1089,802054-2166,315,393
1090,802054-2166,315,391
1091,802054-2166,316,389
1092,802054-2166,316,392
1093,802054-2166,317,387
1094,802054-2166,317,393
1095,802054-2166,317,386
1096,802054-2166,317,392
1097,802054-2166,318,385
1098,802054-2166,318,385
1099,802054-2166,318,390
